Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark : len : 1000 loops : 1000
1 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark
2 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark
BeforeCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark
AfterCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark/zzzTempDir 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark/zzzTempFile
MKDIR	RMDIR	CREATE	STAT	CLOSE	UNLINK
18820	11391	8404	1521	2811	23304	
15931	10483	7871	1465	9210	58477	
30365	12111	12282	2560	3360	27593	
17367	10393	8420	1441	3503	27926	
18311	10713	10348	2150	3708	27761	
26559	14813	8757	1512	2715	22910	
15651	9939	7218	1369	2366	20931	
14331	9633	7356	1366	2736	21452	
14869	9530	6448	1403	2710	21377	
14868	9582	6905	1371	2546	21608	
14540	9563	7628	1385	2760	27784	
15472	10276	7541	1427	2720	22412	
19348	15112	10662	1878	2679	22260	
16189	10225	7929	1434	2442	22452	
14972	9958	7073	1412	2548	22311	
15327	9962	7204	1440	3044	28882	
17772	10977	8251	1520	2806	22964	
15460	9986	7848	1394	2173	22131	
15377	10009	7733	1400	2257	22974	
16533	10427	6991	1403	2385	22740	
15506	10127	7750	1360	3149	25533	
17292	10931	8381	1491	2813	22490	
15293	12271	10352	1865	3324	31126	
16835	11030	8288	1531	2887	23640	
15342	10430	7077	1467	3402	28546	
18531	11372	8420	1492	2680	23102	
15487	10451	7085	1486	3274	25476	
17177	10494	7967	1524	2796	22897	
22716	10810	7831	1459	3338	26224	
17653	10883	8540	1537	2193	20400	
14217	9692	6564	1435	2844	23680	
16194	10284	7622	1535	2768	23388	
15489	10547	7843	1497	2472	22293	
15354	9804	7380	1438	2567	20482	
14010	9153	6864	1408	2732	21547	
14222	9456	6141	1433	3419	26172	
17511	10927	7683	1623	3150	23457	
16455	10459	7077	1513	2830	22358	
15429	10138	6822	1422	2857	22366	
15115	9775	6791	1501	2358	22478	
14658	9730	11773	1597	2857	22645	
15652	10011	7160	1371	2863	23113	
15231	9783	6754	1388	2799	22486	
14955	9618	6690	1480	2829	22474	
15260	9644	7286	1435	2900	24099	
16452	10758	7212	1525	3095	23206	
15645	10188	7363	1427	2651	22920	
15334	10029	6958	1426	3261	25590	
17737	10987	8126	1506	2823	22140	
14929	9969	7159	1477	2589	21961	
15149	9556	6763	1380	2688	22180	
14467	9600	6589	1384	3346	29769	
16793	11080	8063	1428	2889	22878	
15683	10303	6894	1495	2755	22220	
15585	9834	7410	1331	2971	24659	
15043	10158	6922	1437	2694	22879	
14748	9974	7058	1392	2806	22048	
15052	9680	6866	1422	2782	23536	
14548	9630	7018	1361	2638	23488	
15540	10357	7269	1486	3292	25391	
16800	10706	7486	1493	3146	26607	
15340	9978	7245	1380	2815	23263	
22412	11107	7389	1414	3045	25705	
17254	10664	7694	1418	2962	25933	
16580	10862	17540	1540	2820	23274	
15466	10197	7238	1469	3147	25383	
16809	10716	7500	1586	2869	23164	
15834	9998	14040	1631	2732	23175	
15225	10023	7444	1476	2816	25116	
15671	9820	7711	1358	2803	22364	
15478	9744	7222	1414	3106	25480	
16764	10391	7554	1502	3060	25206	
16283	10413	7598	1400	2712	22543	
15334	10205	7749	1415	3077	26020	
18527	11212	8215	1482	3022	25694	
16577	10797	7900	1482	3005	24055	
15728	10289	14396	1657	2825	22680	
15824	9988	7565	1415	2700	22741	
16333	10272	7937	1412	2632	22250	
15493	10098	6894	1437	2514	22619	
15197	9934	7509	1362	3067	25162	
16675	10878	8253	1435	3169	24982	
17791	11320	8027	1524	2991	22625	
22995	11240	7362	1511	2790	26474	
16369	10700	7668	1460	2738	22755	
15813	10515	8745	1503	2809	22692	
15564	9828	7374	1339	2934	24974	
16509	10666	8034	1480	2820	23071	
15324	10572	10404	1854	2635	22181	
14748	9596	6999	1357	2648	22231	
15203	9688	6881	1335	3382	26101	
16548	10837	7665	1469	2752	22616	
15419	10080	7083	1468	3182	28463	
22049	15289	10424	2100	2744	22638	
15391	10268	8025	1422	2704	22253	
15229	9620	7402	1358	2740	26520	
15749	10484	10524	2111	2897	23466	
15934	10326	6996	1432	3022	22648	
20351	10326	7572	1414	2823	23562	
15663	10328	7645	1395	2654	22042	
15071	9871	6814	1391	2630	25940	
15757	10298	7003	1429	2940	29657	
15477	10010	7218	1374	3177	25887	
17324	10833	7644	1524	2780	23166	
16007	10040	7680	1382	2869	23438	
15809	10157	7380	1339	3231	24519	
16849	10516	8093	1494	2911	23268	
15845	10275	7492	1463	3394	24623	
16549	10621	7356	1484	2967	23613	
20923	11454	8320	1540	3166	27952	
16867	10551	7958	1446	3018	25456	
