Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt : len : 1000 loops : 1000
1 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt
2 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt
BeforeCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt
AfterCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTempDir 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTempFile
MKDIR	RMDIR	CREATE	STAT	CLOSE	UNLINK
1018100	235595	568019	4204	6491	342250	
1052046	236031	633323	4827	7035	424271	
1044539	1443100	644796	6504	7091	427291	
1134525	259629	547000	3577	6224	326488	
1044450	281130	634070	4011	6698	334519	
1000487	223988	497911	4866	6826	383860	
1063743	296155	628761	4512	6581	487807	
1206111	1171482	779986	4502	6216	359384	
1229962	298044	602026	4900	6453	390264	
1049081	270736	615198	4370	6460	415345	
1168703	281649	724025	5704	11191	423225	
1042187	263784	596492	4289	7568	341793	
1157849	1689371	718222	5913	22254	489054	
1033116	259446	764003	4954	11666	425381	
1089836	294416	661140	6136	9433	475888	
1152536	398870	668699	5042	25566	386969	
1150788	276719	637898	4740	7935	365138	
1060516	388923	781252	4650	8423	434391	
1132704	273830	635634	4763	10109	580398	
1096993	259533	691326	7592	10049	450553	
1115078	265898	736019	4448	19057	487225	
1132127	403190	682121	4802	8449	454348	
1194467	1165340	881830	4920	10119	464042	
1513332	342762	762965	4755	35661	551894	
1122414	274480	621782	5100	8587	404615	
1524468	302677	723044	4438	15620	590498	
1075042	347880	838106	6531	11659	629674	
1196155	1401375	715153	4884	18490	544451	
1057855	249613	604071	5017	12796	453414	
1046400	275642	662707	4880	8152	402037	
992227	319521	714693	4880	12134	771914	
1088070	364571	677889	5500	10109	535691	
1084652	1256536	710796	4938	30868	471105	
1071529	360554	915790	4964	9103	478498	
1096228	274821	682346	6323	9109	536994	
1033035	279474	623464	4677	11014	426787	
1175919	374939	640663	4698	8927	507271	
1107691	1229328	870916	6220	12429	442542	
1117385	414946	703425	6134	9304	526738	
1083366	328106	1718454	5285	21487	480390	
1082583	308026	847001	4779	12091	502907	
1068332	242847	711837	4530	9887	546221	
1227880	1339330	719546	5909	10546	451077	
1037706	258734	657714	4857	8953	549722	
1140911	262914	666608	4636	11820	413092	
1141493	251912	706860	4419	8943	383965	
1189315	369061	840162	5374	11758	470460	
1168556	1405996	994996	5367	10402	527709	
1112688	309892	709161	4922	9169	563557	
1187982	248350	633323	9565	11454	523316	
1233628	369768	686685	4738	8078	424869	
1174644	320033	835295	4627	15010	611858	
1090277	1163807	2924794	6454	10781	455384	
