Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark/zzzTemp.txt : len : 1000 loops : 1000
WRITE	FSYNC	READ
1888	740081	2120	
1827	663174	1586	
2711	692589	3960	
2442	2194972	3011	
2811	615782	2169	
1826	652398	5517	
3915	1947888	2587	
2040	616972	2079	
1424	564159	1926	
1417	635099	4614	
2363	1899253	2235	
2052	676369	1926	
2778	631446	1407	
1262	574668	3142	
1656	1844887	2070	
1920	674351	1920	
1440	737949	1973	
1414	744531	5371	
3633	2109374	2086	
1393	2427539	5431	
3790	2134102	1934	
1503	729050	1735	
2372	629682	3715	
1736	1928293	1920	
1448	698915	1903	
2665	685126	2144	
1412	591065	3771	
3674	2059009	2417	
2194	594959	1514	
1257	704957	4640	
2117	2118515	2263	
2128	594774	1843	
1251	610725	1350	
1244	636419	3743	
3087	1843987	2032	
1557	603388	1595	
1472	674194	1529	
1325	657815	4318	
4005	1816290	2243	
2212	563467	1420	
1263	617868	1724	
2334	603411	1876	
1408	738988	4966	
2896	2057624	2425	
3195	598037	1990	
1385	754337	3906	
1703	1877933	2024	
2160	634532	1838	
1317	710668	1308	
1212	709631	4324	
2256	1766919	2055	
2027	599540	1614	
1350	650399	1271	
1217	642112	3464	
1671	2039453	1919	
1935	614856	1649	
1377	613873	1457	
1274	586965	3592	
1711	1723430	2060	
1920	590219	1500	
1334	625369	1452	
1270	643359	1512	
2403	1924562	6131	
2754	1844473	2483	
2651	625063	4753	
1903	1931479	2274	
1925	648691	1508	
1333	545979	1647	
1320	608971	3642	
1690	2046482	2409	
2013	616927	1352	
1172	618937	1794	
1568	700082	4317	
2872	2121572	2650	
1482	594257	1449	
1226	617875	3577	
1734	2016151	2288	
1382	707588	1392	
1928	569308	1774	
1236	587266	3028	
1586	1879939	2394	
1859	616484	1495	
1286	588268	1192	
1201	582612	1433	
1243	535720	3466	
1663	1930264	2129	
2006	607620	1403	
1296	577612	1363	
1276	614583	3503	
1655	1977092	2013	
1956	682449	1934	
2591	648559	1928	
1725	611131	3821	
1718	1913853	2160	
1991	608198	1855	
1965	629376	1965	
1377	608919	4285	
3026	1787178	1842	
1478	589911	1718	
1389	611025	1969	
1295	642083	5031	
1774	1895946	1992	
1392	632574	2256	
2755	586108	2092	
2229	560529	4848	
2049	2034924	1897	
1384	567061	1620	
2608	659266	1594	
2077	604972	3980	
1707	1882459	2042	
1478	633496	1722	
1323	654809	1485	
1218	718418	4086	
1738	1941743	1868	
1451	687154	2143	
1851	786672	2127	
1746	604910	3697	
1731	2141022	1989	
1420	666844	1674	
1325	643982	1312	
3047	2053311	6220	
1862	1878247	6512	
2353	1854454	2034	
1411	683988	1851	
1300	584826	1415	
1262	656924	3745	
1659	2054394	1979	
2053	721713	1357	
1325	652045	1575	
1299	616158	5341	
3642	2106928	2242	
1895	667497	2171	
2841	641777	1865	
2352	820700	5191	
1848	1998713	1909	
1441	629019	1815	
1344	651566	4646	
1846	1872089	2146	
1643	564847	1617	
1307	595581	1342	
1796	606523	1532	
2307	570698	3415	
1660	1789984	1957	
1891	677682	1568	
1338	688594	1735	
2140	620151	4643	
3205	1959497	2288	
2635	622789	2043	
1480	569399	1572	
1324	614927	4636	
4012	2094958	2478	
2160	712333	1989	
1691	726435	4529	
1746	1960404	2315	
6916	660866	1636	
1363	571986	1763	
1332	590890	3907	
1719	1959130	1718	
1391	598124	2186	
2660	785028	1878	
1408	638815	3903	
1697	1825220	2320	
1532	665989	2183	
1620	644833	1615	
1291	629502	4375	
2282	2010350	2340	
2100	626270	1553	
1281	713608	1511	
1320	621180	3528	
3889	2027961	1663	
1383	634837	1969	
1826	653416	1642	
1338	740120	4351	
1883	2181855	2201	
1542	603140	1752	
1360	687369	4273	
1729	2181533	2542	
2180	618029	2386	
2945	709888	2133	
1520	764989	3980	
1721	2205377	2308	
1562	758724	1685	
1297	640299	3940	
1703	2108109	2342	
1450	729341	1617	
1263	654245	3610	
1657	2025850	2071	
1418	665203	1602	
1271	701780	1528	
1196	617703	3896	
1649	1980090	1768	
1415	646756	1637	
1227	666054	1712	
1663	612413	3406	
1671	2060226	2384	
2236	605766	1603	
1235	641087	1896	
1277	678339	4308	
1711	1974648	2242	
1925	620506	1534	
1244	703845	1633	
1255	635097	3952	
1685	1728519	2081	
1876	589172	2204	
2460	747759	1454	
1226	628153	3697	
1700	1944751	2097	
1719	694706	1828	
2679	640070	1466	
1300	696501	4106	
1752	2179462	3213	
3868	705954	2290	
1472	702414	6371	
4506	2137882	2891	
3092	719449	2796	
3391	908030	5962	
4500	1987972	2807	
3658	709440	2906	
3697	676346	2812	
2388	722461	6088	
3673	2140922	2712	
3543	696491	2695	
3496	625666	4535	
1849	2034423	2456	
1489	610780	1506	
1342	605597	1776	
1332	607529	4008	
1691	2094897	2142	
1402	676329	2048	
1325	576198	1200	
1210	637020	3049	
1879	1907648	2186	
2005	655839	1455	
1319	669140	1458	
1294	688451	3915	
1743	2018344	2060	
2016	640040	1366	
1246	609589	1220	
1680	659689	3500	
1712	2052518	2048	
1843	594224	1501	
2357	640025	1480	
1311	705358	3609	
1745	1934173	2420	
1541	644762	2037	
1665	718968	4332	
3628	1791382	2322	
1480	599657	2048	
1525	630217	2028	
1381	663450	2109	
2074	1932990	6600	
1382	1830748	2239	
1476	645537	5015	
1909	1750879	2222	
1644	731855	2026	
1492	582385	1990	
1366	631299	4515	
1800	1972592	2234	
1420	608480	2089	
1392	671469	2067	
1420	656368	4757	
1866	1942230	2137	
1400	659829	2241	
1702	683696	2287	
1682	640062	5035	
2074	2054747	2534	
1602	678112	2488	
1846	710426	5393	
2113	2105568	2626	
1597	645360	2238	
1579	633314	2142	
1586	708735	4575	
2060	1910439	2383	
1596	661666	2185	
1680	703888	30989	
1671	724406	5199	
2225	1795646	2122	
1648	702529	1642	
1521	644923	2127	
1607	660622	4763	
2001	2136879	2205	
1591	645542	2285	
1709	615025	4881	
2147	1842665	2361	
1600	602779	2212	
1634	695495	2260	
1692	632934	4293	
2096	1937682	2431	
1870	669231	2169	
1724	723148	2745	
3931	740938	6407	
4279	2001955	2411	
1898	608752	2291	
1785	769365	1964	
1650	609997	4236	
2029	1860723	2314	
1464	580410	2006	
1555	574690	2108	
1702	675727	4920	
1985	1977816	2294	
1854	579587	2153	
1892	651314	2077	
1645	578552	4798	
2135	2018465	2377	
1545	731353	2473	
1787	722912	2311	
3576	1779919	6833	
1852	1857362	2419	
1829	698558	4405	
1910	1831249	2288	
1666	621929	2060	
1530	599115	1636	
1555	701968	4822	
2041	1950564	2268	
1714	640006	2170	
1587	647733	1849	
1670	589405	4257	
1973	1890744	2285	
1633	651829	2138	
1581	656493	2141	
1606	620638	4769	
2094	1977539	2449	
1663	625595	2069	
1627	637876	1821	
1611	609768	4893	
2075	1774696	2464	
1706	719331	1990	
1578	667112	2316	
1655	610810	5127	
2223	1883430	2404	
1657	644310	1983	
1683	672646	2340	
1664	585187	4967	
2107	1780119	2232	
1759	676746	2208	
2052	666640	1768	
1629	541849	5132	
2283	1800880	2305	
1646	640049	2082	
1618	677357	2220	
1657	678709	5099	
1969	1836703	2451	
1625	577039	2186	
1701	576812	2193	
1668	590417	1573	
1558	606805	4936	
2018	1884979	2415	
1409	672820	2654	
3250	590789	2504	
1893	738280	5943	
4255	2140796	2987	
2840	677029	2473	
1769	716608	5113	
2022	2059053	2615	
1720	654309	2241	
1621	678555	2351	
1941	652376	5631	
4021	1943079	2590	
1761	719088	1786	
1614	733342	5169	
2184	5306191	8058	
3755	1901720	2594	
1630	642348	5263	
2100	1923786	2389	
1664	658239	2304	
1645	660278	2206	
1646	642816	4760	
2135	1899176	1986	
1826	821442	2263	
1633	728634	2295	
1669	640300	4983	
1837	2031231	2432	
1669	605347	1947	
1612	634039	2219	
1662	640598	4255	
2064	1823100	2350	
1792	668363	2178	
1637	614409	1707	
1574	586114	4584	
2282	1997908	2306	
1652	639367	2306	
2232	585065	2108	
1615	616792	5060	
2043	2126798	3349	
3062	653578	2402	
1695	701380	7291	
3628	2086141	2733	
3261	667733	2491	
2056	656593	2335	
1790	619496	5446	
2065	1837989	2163	
1591	715863	2145	
1873	625307	2337	
1712	703147	5035	
1971	1713673	2595	
1551	628304	2260	
1786	629415	2237	
1637	673375	5125	
2131	1931767	2234	
1684	705776	2117	
1514	704018	2109	
1639	655846	5171	
1994	1872217	2317	
1720	645184	2289	
1602	658743	2136	
1689	639290	5072	
1947	2102078	2594	
1695	673245	1926	
1685	649956	2222	
1575	653176	4725	
2097	2465260	2440	
1665	761166	2515	
3340	775268	5065	
6453	1959205	2560	
1599	708195	1987	
1653	700773	4827	
2025	2008034	1960	
1714	649444	2025	
1505	614880	2008	
1760	636756	4295	
1869	1857290	2158	
1673	720212	2057	
1635	702460	2203	
1493	724553	4897	
2028	2208489	1910	
1394	689669	2105	
1555	647939	4515	
1905	2204080	8709	
1800	822792	1947	
1575	703837	2080	
2948	1970494	6004	
1559	1939943	1923	
3051	2012876	6795	
1610	1871199	2195	
3134	1822441	13100	
1642	2019889	2353	
2766	624951	5041	
2047	1818997	2455	
1696	651951	2424	
1612	663545	2189	
1615	597144	4831	
2247	1915605	2012	
1576	760635	2248	
1648	729946	4490	
2040	1809511	2420	
1574	634624	2103	
1861	656201	2029	
1574	604086	2038	
1816	678893	5383	
2156	1825350	2087	
1590	620178	2024	
1595	674211	2298	
1765	667702	5229	
1946	1928619	2497	
1668	582918	2157	
1610	675408	1910	
1603	660708	4946	
2001	1919593	2411	
1619	828120	1911	
1545	679910	4917	
2049	1980561	2413	
1760	687700	2280	
1911	678046	2135	
1602	629611	4756	
2015	1912826	2420	
1621	592468	2338	
1627	697559	2182	
1805	658003	5358	
2131	1873056	2545	
1657	561351	2272	
1447	714370	1632	
1475	709932	5241	
2123	2080092	2502	
2183	657327	2568	
1756	644436	2280	
2266	658417	5168	
2371	2056676	2335	
1556	657522	2061	
1607	679228	5056	
1943	2056633	2003	
2311	785623	2267	
1752	749976	2241	
2185	694915	5039	
1958	1857338	1941	
1524	724011	2218	
1485	852893	5049	
1951	1996381	2427	
1606	675892	1957	
1614	681065	2327	
1703	648577	5145	
2081	2082364	1972	
1646	620896	2175	
1571	736991	1749	
1528	723260	5140	
2036	1852644	2339	
1582	695041	2308	
1642	678824	4948	
1972	2086264	2409	
1799	708819	1882	
1589	707853	2294	
1505	642303	4558	
2014	1908719	1895	
2144	597257	1900	
1987	709195	2222	
1582	667293	5049	
2157	1852537	2300	
1658	732616	2386	
1691	731149	2356	
1692	711191	4973	
