Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTemp.txt : len : 1000 loops : 1000
WRITE	FSYNC	READ
104080	90653	93237	
61899	58442	1216	
56443	62861	992	
55438	50568	972	
50696	51310	997	
52793	65485	1778	
103342	65471	1203	
56752	57301	1037	
109257	108964	1637	
65283	55687	1041	
54654	90253	1260	
76153	55487	1000	
54918	58930	1498	
55923	56305	1033	
135657	67509	1057	
66998	82742	1146	
69349	54643	1000	
54818	64452	889	
55626	99777	1027	
65455	62149	986	
104697	59580	1522	
68752	58701	1091	
64517	52111	993	
94117	52114	992	
53493	54257	1388	
64974	62967	1064	
53775	52136	969	
51336	50668	980	
51172	50864	1000	
65463	66604	1280	
56374	52412	1039	
56252	57452	1062	
111333	56519	1079	
55560	72042	1006	
81287	63273	970	
81258	68648	1590	
97622	58605	980	
68460	62303	1207	
71293	53268	1305	
54212	65104	1176	
53933	52849	1110	
53485	63415	1247	
59708	58092	1035	
58253	51876	1054	
53094	58717	1021	
61017	54596	1080	
51280	51485	965	
55047	55321	1297	
53902	51173	1005	
51120	50225	949	
51498	55507	1111	
52718	73839	1031	
52935	51547	980	
51039	50021	1011	
50697	51270	1043	
65300	94298	1180	
56083	110927	1154	
77740	57897	1087	
136958	66379	1004	
63080	52925	1025	
60794	54188	1063	
64135	53903	1065	
101725	74366	1066	
129644	58462	926	
57317	60048	929	
52952	52267	1546	
53688	60198	1057	
57401	51288	989	
52592	56425	1185	
53773	52405	928	
89773	55757	1033	
79615	58521	1020	
53100	51643	992	
51097	50121	1026	
50716	50193	1015	
58997	59151	1624	
60622	53953	1109	
51330	50813	1041	
51894	50115	1133	
55520	51783	995	
51405	57362	1181	
51973	141478	1109	
71669	56847	1020	
95127	52486	1004	
54233	52538	1003	
53263	51304	962	
62613	65670	1726	
136223	75185	1679	
66499	74927	1708	
67482	68018	1681	
66925	68829	1663	
71592	151088	1733	
128262	85201	1767	
126109	76169	1783	
73088	72993	1957	
77054	73082	1827	
114299	85072	1863	
71786	71024	1693	
76890	72541	1798	
140460	116988	1854	
75310	67803	1675	
99762	71543	1714	
132086	74571	1775	
69271	70689	1836	
86715	73621	1863	
66977	67678	1701	
70063	69402	1778	
133045	92167	1774	
75181	74999	1733	
70536	94980	1756	
77086	149112	1740	
97226	96297	1223	
63463	56801	1040	
56076	70628	1325	
55009	54068	1055	
191689	136685	1593	
76056	57580	1097	
56360	53646	968	
59914	91935	1022	
59677	53717	1025	
54460	58846	1199	
71154	52059	1046	
51676	50449	1071	
117009	52910	1024	
59636	51980	942	
51107	49821	934	
51622	50323	1083	
51820	96900	1098	
74485	54702	992	
53710	85679	1096	
78588	55738	947	
54205	51211	1095	
61340	67780	1522	
81039	65436	1030	
122843	57866	1487	
105250	65647	1049	
67724	54004	955	
54280	52389	976	
125604	58176	1007	
69263	96080	1298	
69592	54706	1155	
53714	58694	956	
121447	55896	1468	
56125	52323	1002	
57465	52236	993	
51677	57424	900	
59055	52611	1120	
51909	51351	1026	
58983	52148	926	
51810	52263	1511	
54646	52329	1044	
59374	52243	1062	
58185	75939	953	
55464	52105	1046	
50987	50933	983	
51376	58322	989	
94001	62577	980	
65129	60776	1115	
151915	84924	1862	
126975	76488	1123	
66971	66065	1576	
54669	52560	976	
53185	80186	1117	
59647	53920	951	
67009	52201	973	
56294	51256	958	
50935	51697	971	
51018	50554	990	
53312	60983	1141	
51553	56394	1113	
77628	51793	1037	
52157	51729	1534	
93789	54232	1089	
60218	50955	938	
51805	49910	971	
52003	50028	954	
59868	75480	1058	
99326	53510	972	
51562	61987	1173	
89767	53483	1173	
101725	54382	1059	
103446	89718	1120	
97153	99367	1162	
77067	60936	1034	
64297	55920	964	
65040	72063	1192	
70881	70839	1121	
64826	89977	1204	
88965	58928	1011	
59960	56170	1096	
68148	64837	1114	
56267	54963	986	
106693	56082	982	
68198	54956	997	
61751	55195	1064	
56223	56845	1472	
56256	63469	1180	
59686	54518	1020	
141582	61581	1365	
69998	67585	966	
70581	58891	1107	
56557	57607	1609	
57107	55960	1076	
77303	75113	1660	
61983	59480	1551	
68719	58487	1070	
82698	69366	1593	
69329	57670	1074	
168163	61986	1104	
65013	59622	1509	
62685	58613	1060	
90365	88612	1087	
144003	136128	1554	
78529	61798	1086	
60425	58640	1018	
88455	64420	1056	
146615	68465	1049	
68534	58313	1039	
57433	55223	1000	
123284	57353	970	
57189	69205	1027	
119090	136057	1161	
115169	58783	1063	
57768	56246	979	
56546	54471	999	
99853	67389	1057	
222952	67244	1633	
59006	55471	987	
57056	55350	972	
61666	56598	1034	
54900	53935	1038	
56483	55117	1083	
55277	62890	1151	
86354	80436	1023	
60080	56124	1000	
63344	56069	1122	
55241	58116	1008	
61760	55973	1067	
55524	93321	1109	
142980	67096	1054	
59114	57205	973	
85237	56843	933	
102692	60711	1047	
68324	57293	962	
64327	55788	949	
63596	64072	1102	
112385	60219	937	
57478	58997	1025	
55967	53272	1014	
90007	57067	1033	
60275	56636	1076	
63597	91115	1228	
78500	58651	1020	
65066	55753	941	
57252	53534	935	
66235	56984	1027	
110233	62681	1044	
64598	121550	1095	
82417	60263	1114	
60565	56127	964	
58084	58764	998	
69722	56611	1060	
63564	55380	931	
56120	54752	1658	
57425	55684	1050	
60789	63768	1063	
63717	65433	1011	
62541	63697	1089	
73574	65758	987	
67623	63460	979	
60196	130589	1422	
73412	67049	1092	
59536	57167	966	
67157	57009	1044	
62219	55091	1050	
69231	68424	1006	
56175	57820	978	
66474	52679	899	
51978	50780	1045	
54498	53698	960	
52350	109031	1442	
76723	71182	1522	
60752	56394	1173	
54837	54294	1391	
56080	52503	1045	
58263	54681	1129	
102237	123544	1228	
73413	160803	1177	
66474	55739	949	
54430	52198	1076	
54988	57969	983	
53595	55034	945	
86448	53209	922	
52947	177776	960	
107262	71418	1153	
62530	54380	995	
72554	53356	1012	
85806	70906	1080	
66403	68171	1007	
66934	53109	1063	
53977	52211	967	
61692	64656	1510	
71955	62662	1091	
53363	53607	993	
54425	53471	1388	
54406	52740	1027	
54583	51251	997	
81093	59062	978	
53600	51884	1080	
53023	50091	940	
57360	55454	1000	
54014	51459	969	
52441	51647	984	
52114	50704	973	
63458	51290	974	
73191	53935	1090	
59626	62961	1034	
67444	63622	1187	
73248	61638	1016	
55536	58387	1075	
70447	67568	1006	
56473	51766	998	
57935	61079	1430	
66354	63658	1075	
71495	70267	1080	
56043	60869	1133	
112222	70582	1794	
71378	64430	1148	
54514	52787	1063	
52223	51334	981	
71616	62757	1480	
131828	66511	1150	
101871	59489	1023	
104480	85121	1110	
64269	53508	936	
53479	51785	1047	
53041	132142	1111	
69159	55692	1013	
61401	52545	1012	
52038	53214	987	
101563	53562	1042	
51985	50627	1078	
58334	50766	966	
51500	55185	944	
53372	50738	934	
58452	51765	1008	
55941	53834	1008	
56160	71243	1225	
61836	54204	959	
102241	60938	952	
63375	52658	980	
76177	53568	901	
66554	68608	1002	
87175	53728	939	
58373	52150	904	
54291	52043	898	
54331	76652	919	
54718	54345	975	
59258	51716	990	
61101	53236	1066	
87612	53282	934	
56619	51505	978	
131605	65644	967	
58013	52366	934	
56277	51067	978	
55974	52401	1000	
98886	54552	931	
63380	51373	972	
53205	53783	1010	
55221	96464	1640	
69033	55138	1048	
65937	56503	1003	
203232	66841	1102	
62304	82480	1000	
66036	55554	980	
60234	55035	1037	
58737	55695	963	
57343	56512	1596	
69269	57167	1070	
59751	56148	1014	
59390	54389	1038	
56732	53994	966	
141854	72263	979	
72069	59795	1027	
74566	57397	969	
60824	57700	978	
64863	54738	1006	
58284	54911	950	
67458	55959	1384	
67749	180117	1085	
72638	62663	1075	
66024	87540	1171	
68669	62138	981	
86293	57034	1029	
104588	59686	1012	
84214	57577	1063	
53871	51466	970	
57004	114069	1065	
60096	55015	1036	
55316	51030	971	
121567	95749	986	
106758	54701	1039	
65437	53792	947	
59258	52258	988	
55559	52256	946	
121640	124773	1012	
73280	66498	1611	
76737	59006	1218	
70927	66818	1917	
75276	110975	1267	
97449	67308	1134	
66335	55262	1040	
62220	54999	1106	
59637	52767	995	
53868	51411	997	
61265	56950	1501	
58854	54071	1101	
137103	59546	1067	
63094	102079	1096	
66180	60040	1072	
56693	52430	1034	
56336	52850	997	
126535	67780	1002	
97782	53995	1023	
56389	52903	977	
54265	51944	1054	
56213	56447	1023	
133990	70483	1203	
60661	62916	1113	
61154	53667	1010	
65480	59973	1527	
65566	54026	1090	
64821	59638	1140	
57080	66936	1625	
79603	61404	1163	
62532	120666	1173	
67685	55916	977	
57920	57332	1484	
59000	54093	1073	
62978	51971	1034	
53020	62984	1554	
57812	121439	1712	
107219	64767	1160	
71717	57520	1024	
61202	56189	1038	
59600	55866	1057	
67153	67144	1180	
66186	101484	1102	
60198	56275	1000	
60291	55883	1407	
64316	56551	1120	
64916	55262	1042	
71528	57537	1055	
66074	88257	1160	
59329	54698	1057	
60967	54399	1053	
56937	54918	978	
66442	62230	979	
58280	54359	1113	
62157	58560	1028	
59600	412383	1343	
90003	63757	1078	
60327	57027	1132	
1667724	98988	1337	
128318	62768	1399	
58897	50549	954	
49138	48965	912	
84840	50820	978	
99915	113015	1101	
113950	53692	865	
62435	51287	920	
57409	48054	879	
47303	56394	885	
51924	47591	951	
49691	52447	885	
63553	49493	876	
49264	51778	914	
59712	48687	898	
49463	47212	890	
56226	47152	1058	
71498	44483	883	
45863	43783	854	
42707	43005	941	
47651	43577	854	
46841	46057	828	
95030	53161	907	
46908	45094	852	
50245	105160	819	
57122	48598	807	
44620	43720	862	
45655	43774	840	
43519	43235	870	
50128	44349	870	
45560	43939	871	
46417	44146	904	
52125	44916	1249	
89551	60966	1037	
48863	45440	896	
51792	46303	838	
46546	62068	1032	
53477	45293	930	
52963	45543	900	
44385	77609	890	
45889	43491	819	
48438	45124	1333	
90853	79077	962	
69272	56482	990	
45582	65394	1007	
54922	50052	847	
94649	49931	926	
48455	44681	820	
43934	43854	838	
51368	43965	1235	
49990	46059	1007	
45477	44585	834	
45409	52201	968	
51040	50611	851	
46191	47223	877	
122073	51700	980	
48601	46157	966	
52429	46917	955	
44533	44223	946	
44065	44382	824	
47547	50280	952	
60338	44699	906	
54967	60182	974	
48018	55842	1019	
52418	44978	878	
53474	45725	965	
45954	47139	920	
46022	43764	890	
56059	72927	932	
56483	45444	905	
46443	43907	825	
43854	43591	869	
45068	49214	1003	
53298	54789	1006	
71955	52613	1013	
47849	49911	978	
51511	83724	918	
73393	53616	952	
52874	49653	895	
50618	52587	926	
48120	55360	1329	
57342	49148	927	
47204	64682	1055	
52946	49129	895	
47526	47376	894	
68259	50894	963	
48636	52719	910	
53603	64778	938	
69908	52778	949	
68373	75661	880	
49176	47925	833	
51290	56791	935	
49561	54623	1025	
55831	49768	969	
49303	46414	906	
50577	98693	977	
63216	59494	861	
57240	48593	861	
91072	53191	902	
51628	66660	1011	
222852	104580	1127	
76276	59819	1117	
61003	54408	1010	
100654	58940	994	
66045	61043	1100	
64380	54457	1000	
90787	55876	1597	
100969	59010	1153	
58847	54189	1011	
70326	54084	977	
110383	58072	1032	
57160	52437	1009	
173162	61286	1057	
122661	124634	1037	
72340	58257	984	
69510	61806	1034	
64735	58383	998	
92389	65218	1074	
73143	72642	1235	
62813	57968	1014	
81140	59246	983	
75586	62874	1131	
103990	69446	1649	
62113	58605	1046	
60924	66754	1090	
90303	61333	1139	
63338	57395	1011	
68547	71685	1038	
72050	57117	999	
82179	58913	937	
64098	56414	1011	
60579	63046	1149	
63032	57614	959	
64120	59823	969	
86683	58406	925	
59832	64763	1121	
61930	60412	1542	
63727	58729	1124	
111810	71618	1077	
69645	60444	1115	
65019	58794	1126	
63849	57869	983	
66606	56689	1012	
60500	56592	1064	
60418	56271	1005	
65545	57777	1055	
102855	72786	1229	
64289	57255	1020	
61185	57793	1064	
59046	56644	1078	
64625	56498	991	
57676	59637	1063	
116643	59080	959	
61711	57838	1021	
80009	62394	1066	
61482	94883	1135	
74020	66924	1075	
68422	60740	986	
70700	57958	1034	
63020	57123	1085	
76004	58904	1114	
165376	167360	1164	
98505	140084	1295	
102962	62915	1009	
61623	59367	1069	
91751	66297	989	
142618	69418	1125	
64638	74274	1229	
67748	61083	1093	
61774	57637	954	
64903	57453	1013	
62202	65983	1084	
61598	61804	1112	
62240	58818	1025	
71527	58745	1028	
61024	57750	1001	
58923	57290	1047	
59317	57890	1036	
64972	57327	938	
74583	60198	1174	
60567	64740	1083	
76851	66845	1016	
67936	57918	995	
61190	57863	969	
69235	59534	1121	
61082	58400	1057	
65595	58458	1015	
62705	57723	1095	
60376	57142	1000	
60839	58062	993	
63484	57547	996	
59790	56931	1006	
60385	57008	1014	
79972	61084	1147	
