Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTemp.txt : len : 10 loops : 1000
WRITE	FSYNC	READ
106623	55363	68665	
50277	48632	965	
39017	47133	803	
37719	41186	724	
36190	40900	718	
40241	44243	766	
37055	41367	706	
35930	40495	704	
36045	44582	1098	
39389	41876	751	
47580	43887	859	
87247	49264	697	
45547	61297	716	
42730	43050	692	
44922	44838	932	
37101	41328	705	
36033	41219	697	
36467	41265	676	
36276	40694	635	
59998	45708	658	
37916	40787	666	
36292	41097	659	
36201	46409	801	
37345	41633	687	
70479	45309	686	
88814	54054	928	
39807	70916	1137	
59983	49729	777	
37865	41950	720	
36757	41262	715	
36378	41060	712	
36205	41026	719	
36219	43000	724	
36974	102943	1337	
47740	44585	826	
40397	41542	771	
36460	41151	778	
36635	40760	711	
36287	51165	1273	
39875	42220	766	
36412	40673	727	
60961	65972	1437	
46649	93122	1046	
41385	44799	800	
38439	42802	775	
38150	72358	873	
50089	45122	729	
75161	63247	716	
70919	58727	753	
40220	43687	745	
45079	42674	726	
68706	52081	805	
43984	43903	798	
37962	43420	1203	
92190	96113	860	
49949	85897	942	
60241	48074	776	
101827	60831	845	
42093	49352	837	
39821	53671	987	
43533	44024	774	
38449	43094	715	
38604	42374	670	
38675	42460	694	
37162	42672	654	
39713	131583	1220	
76084	50639	808	
41185	44155	735	
163554	89611	1427	
50168	51295	1007	
104540	67406	1217	
44407	50055	877	
48784	48024	1109	
42117	43793	813	
38289	42363	700	
36962	83918	826	
58627	63298	913	
86919	129948	1773	
52855	57625	1036	
42857	50999	1237	
46840	51985	837	
40474	42927	757	
37518	42375	745	
90146	108931	914	
46592	45452	691	
41536	43257	757	
37160	87220	1098	
45616	45351	748	
37407	56216	735	
44671	58878	1211	
45479	55699	820	
56829	48669	727	
37914	88423	802	
149628	82196	1422	
47658	80409	1031	
52267	47487	784	
39974	48734	751	
39472	52393	714	
39839	48859	730	
190285	76117	1414	
47367	47177	855	
40751	44061	714	
50724	47599	713	
39584	43597	657	
38528	43546	665	
38766	43077	625	
37357	43220	644	
37448	88923	920	
44808	44449	677	
38849	43225	656	
38694	47966	700	
39253	43202	673	
38573	114239	630	
40249	43259	640	
152197	132881	1646	
105753	85857	1164	
45134	46525	827	
45326	43643	762	
38164	42978	695	
46811	59239	980	
87054	57160	914	
132702	59152	1221	
42050	60473	893	
48708	101681	1022	
44163	102811	868	
40911	51135	837	
174883	54005	953	
44577	44790	803	
38552	52094	775	
76330	122873	864	
138094	135755	1474	
87542	133306	1367	
54692	56155	871	
45254	49121	878	
51637	56851	907	
44196	105960	920	
48035	48366	838	
42590	46727	816	
42684	56871	895	
43678	50714	878	
42293	46753	767	
42386	46499	782	
43900	92733	862	
44195	47489	774	
77035	124286	1622	
59402	53585	1000	
43421	47835	815	
46479	47548	832	
47320	51793	815	
42806	47163	791	
42786	47563	787	
74768	64105	1154	
47997	48720	718	
43074	60829	900	
43589	47805	754	
73080	62420	1327	
51640	141897	1003	
66717	66481	966	
47668	50516	706	
44865	49833	835	
90105	162073	1206	
44276	45686	818	
39250	44513	1146	
47636	49326	1007	
39179	44802	1171	
43126	43664	751	
76412	70088	1346	
54707	47864	833	
40214	44342	692	
38323	48043	760	
40553	44716	1147	
66714	63507	985	
40426	50291	940	
39422	43808	724	
40203	46606	780	
38077	43072	726	
38149	42615	760	
41718	43387	740	
37984	42725	705	
52686	84066	1237	
44862	45949	868	
38259	43413	789	
38106	42737	726	
37725	42368	734	
37077	42901	733	
73260	60264	1251	
40877	44470	837	
41699	72452	787	
54520	47436	742	
100182	55759	785	
39658	43233	729	
36546	42656	719	
101743	49030	782	
40180	50403	763	
38436	46769	1150	
49552	72502	880	
47647	50004	834	
38833	69941	931	
47374	70132	1830	
61323	58132	875	
45957	49551	837	
43861	48066	782	
42396	47339	771	
42482	46877	728	
45588	47213	671	
43953	94482	840	
54769	51161	691	
44597	48080	683	
42821	48488	686	
42991	47307	698	
42870	47313	691	
42084	47497	695	
42063	47124	671	
42851	88637	1399	
54871	55126	1186	
84200	63012	933	
47358	55100	1218	
47076	53560	829	
43550	47930	773	
49643	61251	938	
43977	47413	750	
42250	47037	733	
42900	48071	734	
42206	47340	711	
50924	51866	797	
42917	47088	720	
41661	46502	712	
50462	54491	866	
43935	47703	701	
48677	48931	769	
42831	46405	710	
44154	46384	718	
94273	103565	1433	
128268	83100	1616	
51267	58807	1396	
44233	73822	854	
40059	43394	829	
37520	42308	696	
36720	42257	697	
39067	79566	1388	
44674	46989	857	
39233	163814	988	
52254	47827	876	
40364	43957	780	
37175	46325	787	
38947	54166	1129	
83571	50923	817	
40752	44493	753	
43027	43852	740	
38869	43586	765	
37869	51604	771	
39334	46386	769	
38811	43324	760	
122190	49670	762	
40023	42996	718	
48880	43822	794	
37198	41831	762	
38155	83360	751	
43751	44702	692	
38131	42930	708	
75251	47127	860	
39204	42570	743	
37209	53005	1191	
85428	55211	837	
47325	48460	1066	
92700	55970	966	
61367	85626	1309	
59815	73284	1029	
43479	46354	1094	
47550	55492	1006	
43147	43682	785	
38446	71076	894	
53017	48601	813	
40196	43934	743	
136389	63159	877	
146120	67632	1314	
44076	49620	829	
39270	44236	799	
40723	44223	744	
39101	45069	807	
37860	43257	722	
36966	42146	715	
37884	42000	749	
36951	42849	769	
37234	42822	763	
48400	43861	774	
37100	42509	761	
38119	42641	788	
37527	150820	1242	
44309	46742	809	
37531	42405	775	
129057	49137	721	
38354	42504	727	
37130	42161	702	
81645	50466	877	
37747	42665	730	
42023	51202	698	
40385	41786	696	
36092	41135	704	
35360	41302	715	
36225	40354	726	
35404	41230	710	
93026	45322	884	
37635	42925	749	
136015	102691	1322	
60018	60449	1333	
97049	54672	957	
45434	56148	862	
43201	47828	779	
42714	46908	783	
41917	109278	939	
43192	124050	1764	
97209	63691	1004	
47871	118003	1127	
59717	53607	913	
44164	48689	824	
42326	47943	812	
42150	47031	749	
42530	56664	744	
84915	50372	820	
42240	63220	834	
58795	50749	863	
48080	54302	790	
43842	54157	800	
48078	47118	742	
41002	47310	759	
42429	46513	771	
42391	46738	761	
46196	126716	904	
48137	49684	774	
46722	48406	777	
45000	138750	860	
51017	51350	829	
45125	49525	771	
88113	52223	812	
44019	70843	1011	
47437	49551	798	
43173	48095	717	
42660	49509	855	
47677	48001	760	
79320	68640	1789	
54651	60504	1215	
54580	61973	1388	
96342	66637	1505	
57331	53257	951	
44613	47858	811	
41965	46568	701	
43531	115246	1289	
52757	57367	1101	
49116	60328	1388	
86561	95736	39974	
54109	94637	1500	
51388	55987	1040	
44619	49000	788	
44098	48146	772	
42695	47674	733	
44723	49302	770	
43287	47197	713	
42048	48441	714	
81119	142100	969	
59132	52912	837	
45654	50414	723	
44130	48556	765	
82487	75023	806	
55989	50666	768	
43488	47465	755	
45204	110675	20112	
47672	48903	1020	
40912	44330	798	
37974	41763	731	
39974	54137	748	
132476	85980	1353	
44711	66526	1475	
44829	46686	847	
37752	41711	681	
72663	63889	1819	
56160	51548	938	
38300	43025	735	
103580	53634	770	
74981	55443	745	
41278	46257	774	
37729	41171	689	
36318	40918	732	
35954	44579	797	
74106	77422	790	
36881	43629	714	
37231	43039	692	
36624	42242	662	
36493	43638	676	
59496	42329	687	
96614	44849	879	
37180	41736	707	
40578	40808	699	
36540	95160	892	
49597	184623	1211	
119300	71782	1352	
73015	108834	1178	
46616	45897	816	
38897	72658	903	
55386	112273	931	
44497	69234	800	
70882	46648	765	
38690	114489	823	
53604	47710	756	
40253	47362	794	
39216	67798	749	
47845	46594	749	
39018	47461	840	
79060	44989	757	
76134	60785	1019	
61082	59397	891	
73777	60516	1271	
50880	47265	796	
40123	42620	770	
51000	46154	808	
39428	43921	789	
37780	72505	823	
49009	45880	714	
38013	47045	727	
38093	42979	687	
75654	46764	715	
37849	47962	702	
37526	41706	707	
36724	41192	694	
36084	42053	682	
37000	72405	1068	
64553	50727	810	
37875	153457	1093	
42989	45596	763	
37441	42055	710	
36606	46157	678	
42519	48939	812	
37689	42900	731	
37713	42051	720	
36659	41520	749	
36871	73880	1386	
117532	59463	875	
40677	45028	800	
38676	42829	692	
113972	53362	911	
47826	46187	817	
38055	42422	702	
36706	42889	687	
45263	55572	958	
152286	143400	1683	
114501	60183	1262	
44183	46973	913	
91920	69638	1068	
78008	102622	979	
50214	50394	781	
40179	44243	750	
38357	54801	949	
51902	56960	883	
70428	68045	1400	
85346	56886	1080	
77020	59246	1010	
42843	44436	821	
47560	107274	1156	
43414	44740	851	
38723	42900	797	
37130	45126	812	
38065	69325	1086	
45938	49490	760	
39038	42394	786	
37135	42317	749	
42755	44355	832	
37121	41803	758	
36776	79491	1026	
41451	44312	804	
38560	42275	808	
36829	45584	989	
71868	60705	1284	
40355	46460	837	
39620	43147	745	
37282	79396	1417	
43806	47183	1081	
38691	43430	879	
37519	57114	846	
38429	47054	833	
37574	42707	786	
37349	43306	783	
45094	89850	1695	
46723	47957	957	
38357	46255	814	
37524	42819	775	
37014	41989	856	
37272	43871	877	
122973	97616	1349	
49476	48312	934	
40548	44441	811	
47416	45040	812	
47089	59544	1070	
