Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v2/mtpt/zzzTemp.txt : len : 40000 loops : 1000
WRITE	FSYNC	READ
8982810	812315	953276	
8864736	831570	8232	
9279410	807422	9927	
8549946	826289	10854	
8729536	1449142	8427	
8755302	741796	8579	
8830004	918928	8909	
8838632	806497	10818	
8668661	808411	9756	
9111310	773987	7583	
8922927	884966	13611	
9082516	857249	10855	
8444268	921089	8477	
9080673	780573	9460	
8130813	792698	8426	
8595110	834534	7678	
8344949	651968	7651	
9387216	803442	9090	
8408463	816808	8140	
8890374	1021040	6592	
8953635	764392	8517	
9430835	871417	12368	
9267016	790297	10167	
8194494	751112	10265	
9271778	812735	9825	
9038696	971115	10525	
9030143	725987	8386	
9849874	862262	10365	
8971229	1126739	15300	
8772281	883780	11812	
8976877	939444	11209	
8634276	800847	9910	
9146203	857736	8492	
9278834	832719	8781	
8521550	896529	9388	
9314675	785658	9548	
9495042	780371	8305	
9002493	904130	16732	
8798678	852039	7966	
9010302	858211	7719	
8954490	802419	8926	
8455476	732932	9487	
9302091	904798	10666	
9236604	855671	11731	
10434635	901210	11685	
9449860	817805	12968	
8971080	810199	13272	
9513731	827586	11709	
9443541	803167	9385	
9113804	806386	10144	
10420601	930172	10457	
8510974	739866	8915	
9282530	870940	11724	
9285750	955169	9610	
8737259	851474	10249	
8753267	953397	8903	
9045553	941117	7717	
10414769	856902	9640	
8707461	771695	9502	
8730628	765371	8849	
8816584	805917	8474	
9253685	899566	10577	
8463341	1391942	7888	
8822482	776210	10401	
8912146	928880	9178	
8932779	790225	10940	
8258942	787847	11129	
9061556	967063	9257	
8561444	771614	11267	
9030036	814744	10785	
8165120	864139	11441	
8363363	1007426	8475	
8955629	798173	9963	
8535890	935491	9414	
8748295	737695	11268	
8682264	819711	11177	
8585745	836508	9989	
8908267	654229	8512	
9129245	776009	9957	
9128042	746706	8980	
8644238	727173	8205	
8245070	806444	8150	
8376570	1082783	7022	
8672293	928840	7188	
10866997	695941	9769	
8361784	768035	8846	
8384294	812380	8007	
9532978	813948	10334	
9354016	942632	10851	
12150496	815332	12714	
24451093	909600	13506	
21471868	1019720	12687	
8789790	769446	8485	
8861159	811224	12072	
8517325	729431	11098	
9011770	930252	9202	
8057945	748927	10934	
11759556	781613	9989	
8395818	782820	9450	
8457109	745530	9547	
8507679	1022173	20651	
8411164	830517	9634	
9155130	765050	10820	
