Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v2/mtpt/zzzTemp.txt : len : 10 loops : 1000
WRITE	FSYNC	READ
970726	774519	922477	
863108	822537	1755	
738557	913792	1718	
882172	887566	1677	
999336	749094	1767	
945246	875294	1656	
870333	947208	1417	
930279	924243	1846	
963533	939780	1708	
921526	831493	1775	
957035	834789	1631	
844398	803932	1779	
855734	813968	1576	
905912	818006	1580	
846901	757293	1647	
832287	851784	1707	
807120	764200	1576	
843286	742013	1742	
820618	739030	1738	
709020	695361	1741	
753216	845846	1676	
928352	738437	1681	
827280	827725	1666	
776658	682913	1580	
852212	865603	1763	
902789	910645	1256	
985297	837053	1596	
879937	882515	1637	
851683	827283	1468	
893905	778015	1457	
734711	858769	1418	
832077	844114	1552	
878955	764496	1765	
915764	698235	1701	
764076	785015	1347	
861418	828117	1827	
872761	999026	1812	
997228	776004	1698	
848886	914090	1434	
787702	886662	1684	
878783	1005823	1707	
835443	852828	1615	
748537	848655	1539	
887538	808036	1700	
886054	748906	1568	
905272	905054	1726	
921467	803114	1683	
835911	876489	1389	
765027	805544	1775	
852771	840272	1656	
760319	927992	1854	
757874	892566	1915	
721239	906068	1731	
736923	894653	1641	
757115	864326	1770	
858309	857214	1731	
878225	878400	1667	
928054	876576	1664	
850988	891986	1859	
847418	852897	1627	
873361	806837	1661	
769401	850660	1626	
852481	931459	6566	
953163	807065	1546	
775972	790536	1788	
732765	790923	1688	
942002	788353	1624	
796577	758265	1643	
806037	885822	1538	
776039	859363	1573	
814313	839046	1693	
789504	802751	1648	
918000	780197	1708	
760223	911595	1752	
802559	860709	1375	
824722	761852	1637	
858219	888529	1495	
962014	786484	1536	
883714	869771	1586	
826746	924259	1525	
798690	828407	1443	
766290	750825	1243	
763927	808667	1500	
906029	744027	1712	
701882	713652	1515	
909385	756482	1718	
843895	2096342	1688	
914010	869406	1651	
872334	911514	1739	
875871	785170	1833	
880617	770843	1652	
876932	811366	1771	
993956	942607	1683	
881557	947895	1763	
856033	774072	1637	
760855	823171	1682	
777616	704398	1651	
671706	761565	1843	
854610	816645	1720	
859683	874980	1712	
827176	876709	1700	
867442	748204	1726	
798420	899445	1427	
1014100	914609	1718	
832273	894597	1374	
764895	848575	1702	
