Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark/zzzTemp.txt : len : 100000 loops : 1000
WRITE	FSYNC	READ
35517	3001626	85482	
27279	2562702	28164	
28530	2939694	24991	
30466	2794582	24536	
29707	2676899	24079	
34872	2613183	25423	
29168	2577924	23406	
27577	2730593	18361	
28137	2808244	17460	
35068	2873860	22376	
30836	3022749	21888	
28101	3018585	21597	
28630	6574467	24411	
26744	2874328	20534	
25826	2693445	20484	
26299	2877073	23208	
28791	3031242	24706	
28465	2801469	27079	
26327	2639176	24576	
27101	2885702	22383	
30364	2806857	24971	
40971	2868679	25405	
26035	2658389	34818	
28008	2648857	24979	
26732	2731818	24097	
25278	2646324	20637	
27254	2931724	26431	
27669	3181457	23606	
26128	3296019	25070	
25578	2635942	21578	
35910	3150874	21968	
27280	3286046	20214	
31429	3159485	27506	
26912	2657371	24924	
25530	2482625	20520	
28851	3074439	20036	
25260	2618669	19246	
24622	2917264	22157	
28322	2922388	21469	
25841	3026120	25550	
33830	2851070	25541	
37646	2918776	26967	
35953	2782585	24604	
37605	2812894	24171	
36071	2887441	25405	
38682	2900035	27177	
38015	2890629	27417	
40746	2758593	24700	
39383	2950482	27883	
34348	2918697	25820	
43929	2741326	27006	
36205	2730660	27730	
40478	2821885	26291	
37604	2907511	26968	
35769	2834603	26985	
34814	2771518	25790	
37537	2938093	25952	
34743	2941577	26167	
36944	2850959	26484	
37456	2795123	26082	
37366	2811226	27058	
38109	2876305	27174	
42546	2860845	27053	
35915	2840477	26227	
38470	2817756	25985	
38004	3136260	27342	
36544	2886174	25154	
36726	2792059	24127	
37302	2880307	25763	
37080	2766872	25812	
44449	3097927	27111	
37764	2944422	25321	
37668	3011602	26344	
41291	2653636	25493	
37427	2917802	26414	
38432	2835020	25838	
35656	2799750	24066	
35986	2864840	25367	
36071	3478573	26404	
34765	3079192	27093	
38441	2772692	27335	
37126	7210941	27472	
33155	2875393	24396	
38820	2764534	24438	
36403	2724545	24937	
36463	2814740	25069	
41057	2831740	26702	
37946	3260464	24131	
36751	3176452	24221	
36247	2919575	27575	
48035	2882917	28164	
37048	2774954	25977	
37328	2744218	25250	
37031	2577015	25197	
37514	2784965	25361	
39578	4084354	26852	
36355	2741173	26894	
40704	2847910	27280	
35277	2787535	27761	
49131	3060528	28116	
46789	2786104	25506	
35073	3066926	28460	
36107	2856357	25774	
37256	2896532	26085	
35172	2734885	24982	
34161	2936623	24988	
38211	3013823	24840	
37478	2853560	24926	
35354	2860324	24892	
35900	2867422	25209	
34452	3100467	24623	
35364	2933327	29271	
33711	3006558	25836	
34134	3306048	27223	
33818	2821373	28055	
36813	2867150	30765	
36887	2695124	28162	
34777	2777847	26402	
32594	2929534	28289	
33997	2885209	25793	
34008	2879194	26840	
33674	2938419	25067	
36162	2877560	26490	
37923	2811314	28544	
40882	3117565	30462	
37398	2893324	25525	
37216	2858992	25866	
41064	2940970	23817	
37421	2601636	25556	
36903	2904883	31711	
36026	2833852	25849	
39130	2708546	27091	
36695	3050865	27207	
42366	3023120	27186	
37680	3056132	26987	
38073	2868193	25806	
37526	2939739	27893	
41433	3081326	28181	
38519	4248931	26426	
34810	2818984	26945	
36490	3010048	26462	
38415	2841820	29768	
37870	2944404	25834	
34664	2805603	25286	
36973	3103446	27260	
36368	2856641	26673	
37700	2954669	24751	
37267	3029838	25588	
34605	3326749	28266	
36620	3305086	27142	
45183	3906471	26340	
30562	2887011	25763	
35161	2838289	24943	
36980	2814295	25451	
33595	2939080	26376	
50196	3149868	25813	
39817	3258966	19284	
24858	2964643	21246	
28655	2732832	24422	
26956	2897512	19941	
21124	2672325	20140	
27882	2996502	21581	
27717	2735575	16760	
28323	2903004	18855	
25848	2780682	19254	
25475	2779488	20160	
25148	2841444	19313	
28040	2733075	18078	
26665	2999508	20810	
25495	2813392	18957	
26533	2785921	21872	
27247	3061944	19274	
28351	2997369	21380	
30105	2922136	22726	
25899	3197334	18546	
25521	3120445	26217	
26939	3029488	22045	
31170	3155652	24120	
34626	2993705	29451	
25848	3213580	19670	
28485	3200481	25237	
33612	3031483	24428	
25620	2946208	26522	
47865	2971097	34129	
31463	2710545	40194	
25409	3201358	31257	
29611	3023223	24176	
28914	2937146	23399	
26246	2794125	18714	
28595	3010424	22097	
28998	2914867	22077	
27762	2935814	22679	
28982	3377182	21694	
25325	2791593	21290	
25905	2921785	20297	
28295	2830770	19248	
42092	2905332	26009	
27517	3075684	23029	
26297	2918078	22228	
28078	2751692	17887	
27735	2733002	22562	
26998	3079904	23333	
27623	2919272	20089	
37048	2788565	18083	
26369	2836363	17736	
28782	3153482	19760	
25543	2786840	24530	
38217	3062477	25049	
61050	2967822	21481	
28637	2814501	20532	
27702	2840575	23855	
27554	3017979	23364	
26097	3066075	29525	
42660	3255372	31829	
36511	3207193	40855	
27050	3384278	28122	
33831	3484743	29694	
31963	3351565	33891	
32402	3038590	27482	
39908	7221958	30517	
28209	2937713	18211	
29093	3025239	22691	
31106	2807097	21682	
28064	2914847	21176	
27717	3371079	22469	
34210	2879838	21493	
29000	3086497	21059	
26199	2490889	34020	
31001	3004216	23093	
26857	2778841	19126	
23331	3070472	20068	
32418	2824805	18391	
27172	2784568	21804	
25236	2938086	21925	
28999	2932456	19069	
25133	3048680	21419	
25430	2933248	22164	
27420	3078559	23600	
26411	3038490	20309	
39806	2879184	23122	
34604	2877421	21660	
28733	2875027	21962	
29506	2813756	23275	
27399	2885801	20981	
25488	2809933	20659	
31617	2780590	20902	
28742	2716589	21205	
27139	2376015	19727	
26382	2841168	20360	
29221	2838200	19700	
32591	2766932	19810	
27310	2913885	19578	
28360	2652281	20357	
27511	2883094	17247	
28097	2903497	34327	
27675	2673755	19074	
27198	2770743	20123	
28465	2579779	19587	
29093	2737759	21189	
29777	2761588	20793	
27905	2955829	20678	
26042	2858674	18129	
28720	2825528	19914	
31797	2775247	20534	
34462	2993599	16915	
28811	2960369	16571	
36668	3919905	21520	
26720	2928067	20835	
27614	2933149	19120	
30208	3120975	22340	
25435	2886814	17060	
28380	2884995	20267	
29453	3090528	23218	
26947	2810975	21568	
32634	2983654	20755	
28510	3154298	21147	
26691	2797629	21525	
28090	2846075	20612	
26721	2780985	16695	
29249	2876085	22643	
25349	3074983	20986	
30105	2792265	18587	
28489	2731959	17130	
34595	2699646	20061	
30239	2777265	20895	
35042	2740658	17416	
36834	2853579	19415	
24724	2869197	28451	
28780	7295584	24082	
25468	2951592	20311	
28233	2836430	22088	
28610	2743894	20163	
27410	2694087	21706	
28862	2968818	20090	
36779	3239537	18697	
28655	2770139	19516	
28140	2804097	18995	
24115	3008515	21480	
27521	3141770	21140	
26649	2834096	20615	
26442	2717552	20655	
30148	3110055	22669	
32755	3137091	21335	
28998	2682005	20140	
27168	2957728	21361	
28477	3140673	20501	
26769	2737136	19986	
27664	2801105	19406	
29004	2839546	20572	
28541	2886929	19775	
25951	2836766	20832	
27219	2950268	20340	
28694	2661305	21117	
37632	2996438	17091	
27739	3149763	20682	
26765	2966247	20500	
28663	2730213	20128	
30617	2984518	19899	
29450	3100373	22728	
28458	2822744	20669	
31754	2815737	20834	
26166	2946372	20823	
33540	2869954	19339	
26605	3106394	19344	
25594	2868652	19253	
25933	3041271	20194	
30448	3170520	26094	
36603	2986266	26886	
34755	2913483	44296	
32049	3040354	24914	
32157	3153738	26067	
38825	3029591	27168	
44256	2737098	47522	
37055	2933185	26584	
35609	3096213	27722	
46428	3020645	31742	
36313	2953624	27126	
33922	2892650	27046	
33963	2840646	27059	
35896	2872867	23909	
52843	2951769	26037	
43737	2804272	26826	
34000	2746742	26254	
34637	2969127	26655	
37020	2795323	25146	
36306	2965694	25845	
35014	4024842	26281	
35878	2811638	28079	
35509	2814807	26808	
33961	2835946	26938	
38280	2844679	26369	
35169	2863275	27073	
38835	2766148	20000	
24511	2699597	19459	
25040	2949301	19342	
26277	2604177	19286	
24922	2821796	21261	
26940	6966205	36762	
40828	3284587	31514	
42619	3046253	38174	
43058	2878777	30829	
36834	2903414	30537	
53053	2887159	28533	
42154	2845324	27761	
39543	3175624	26554	
34206	2970739	26358	
36268	3073591	26175	
44874	3070026	25562	
33851	2820850	23511	
31516	2891823	24248	
39305	2867611	26134	
36636	2924603	27215	
32159	3031510	25732	
35788	3182553	27499	
36897	2868810	28924	
44152	2752810	33076	
36400	2928853	24655	
37509	2757099	25763	
45114	3009931	26702	
35242	3034100	27270	
38826	2775050	25799	
37177	2700212	25877	
41239	2810186	28223	
40964	2954335	32964	
39444	3110970	25377	
39915	2961270	26112	
37595	2875323	27281	
37226	2537766	26194	
42068	2936437	29097	
37226	2753044	28588	
39413	2795980	28443	
45146	3044819	27592	
39427	2855655	25687	
40434	2919945	27518	
38401	2962780	26493	
39187	2744872	28722	
38033	2924827	25763	
38478	2790427	26278	
44400	3102830	28638	
36806	2838706	26466	
34734	2880555	28178	
39190	3020512	26245	
38372	3108020	24294	
36883	2857860	26306	
35700	2972752	27237	
35561	2977045	24872	
38333	3012428	27886	
37572	2979611	27800	
37833	2977427	27214	
37664	3001791	27637	
35852	2986416	26447	
33503	2787399	25729	
36217	2772095	25655	
36443	2879961	26651	
49396	3076785	28239	
38360	3081258	28288	
47346	3135611	27411	
39721	2854983	28574	
36606	2862203	32973	
35035	2861622	27792	
46163	3399755	28689	
39012	2735163	25385	
37366	2967878	26350	
38707	2878090	26512	
38534	2828986	27741	
37179	2821555	26814	
36208	4179166	24741	
36713	2774856	26811	
39391	2778406	26117	
41316	2966908	26644	
39461	2854874	26371	
40045	2815909	28715	
41192	3045408	26497	
36749	3211491	28361	
37445	2924765	27040	
38438	3010995	28230	
36686	3144167	26273	
43377	2634926	27719	
39175	3235739	28614	
37283	2917803	28406	
47100	3072362	28712	
39289	2923897	28183	
36916	3172112	28373	
40017	3293253	27832	
35465	3267480	26027	
42888	3239506	27753	
48398	3028587	28677	
45502	2832040	28951	
39826	3122113	27871	
41936	3021337	28039	
37533	3061875	26721	
37091	3021813	26088	
42540	2667380	27269	
42672	2978198	28147	
46545	3150955	28288	
37045	3088470	26629	
33255	3104111	27721	
35096	3024611	26277	
33486	3182487	27270	
60583	3164430	24724	
36777	3064213	27942	
37011	2992948	30170	
35214	3082606	26865	
35952	3024017	27876	
37578	3014355	31283	
51343	3007714	30134	
38192	3117540	28267	
36696	2969764	28073	
47415	3011397	26793	
47233	2791000	28300	
35053	2834199	24541	
45660	3021263	26908	
36504	2868000	27260	
38167	3301053	26323	
36901	2829321	26641	
50966	3044770	27834	
