Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark/zzzTemp.txt : len : 10000 loops : 1000
WRITE	FSYNC	READ
10312	2271030	14810	
7417	2174768	8597	
7864	1941845	4326	
7265	688944	6750	
7960	2045076	4128	
7128	751194	6854	
7953	2207079	4470	
7460	707619	6722	
8120	2218536	4217	
7738	795721	3869	
9659	1859320	8698	
8156	2032389	9042	
5563	1986177	3948	
4907	676982	3607	
7493	1955395	8881	
4730	1919731	15469	
5349	1878892	3491	
7560	726582	4700	
6800	784575	7264	
5369	2169552	4052	
4345	700087	6314	
5169	1896207	4140	
4691	822739	4348	
4692	765545	6756	
5113	1871739	4138	
4673	692267	3701	
4638	721030	6695	
5078	1953383	4154	
4940	726083	3688	
10338	2855383	8971	
4740	1876755	8816	
5249	2181745	4216	
5041	708737	7167	
5695	2023736	4235	
4790	841909	3946	
7660	2021885	8809	
4458	2213341	8674	
5541	1842951	4115	
4680	663899	3802	
8388	1886605	9080	
5771	1986166	9129	
5062	1852104	3574	
4477	686138	3775	
4874	651169	6459	
5241	1821952	4069	
4627	674503	4100	
4677	725837	7033	
5391	2020931	4340	
5026	802451	4100	
4700	672565	10081	
6983	1848214	4522	
4678	681285	4144	
6024	716965	7138	
4709	1857391	4106	
5023	716764	4062	
5158	707352	7180	
5444	1939670	4306	
4731	719942	3966	
6367	1916633	8764	
6068	2023621	7677	
5169	1979386	3590	
4807	702457	3640	
4864	740805	6024	
5186	1926465	3783	
4859	788106	4189	
6514	1979330	8143	
5240	2040960	8928	
5229	2031827	4169	
5003	771108	4055	
6989	1834562	8688	
5250	2258844	7757	
5900	2247531	4339	
4776	858611	6186	
4829	2080851	4068	
4359	724625	3914	
4823	694708	7073	
5225	2002816	4332	
5207	799262	4174	
6382	2276376	8798	
5566	2063362	8784	
5644	2097582	4211	
5115	735812	6883	
5222	2397286	4075	
5111	743742	4451	
9431	2186428	9680	
4986	2134825	9147	
5436	1989987	4412	
4633	838357	7452	
5314	2069609	4273	
4959	766141	4336	
4843	721616	6472	
6117	2144261	4235	
4742	729366	4080	
6339	2027359	8574	
4674	2108674	8689	
5432	2098726	4302	
4659	700224	4031	
6373	1909645	8741	
4795	1837975	8896	
5068	2173715	4207	
5011	738226	4116	
4905	717988	7103	
5543	1913682	4117	
6292	760104	4083	
6075	2037889	8784	
5731	2141499	7555	
5100	2012928	4329	
4955	862439	7070	
5729	2247767	4466	
5240	1380792	7299	
6252	2389097	4488	
7260	744565	7386	
6020	2044973	4251	
5105	693752	3474	
5066	878482	7249	
5640	2182467	4426	
4991	702382	3677	
7511	2115079	9117	
5216	1958950	8420	
11028	1927578	4364	
5053	799801	4277	
6040	2175152	8780	
4761	1944932	8541	
8032	1970355	3742	
5485	760233	4167	
6185	2086453	8960	
4579	2249217	8466	
5320	2097016	4163	
4665	694016	5807	
5211	2052228	4429	
4711	708507	4085	
4726	688874	6537	
5275	1904830	4317	
4724	780280	3737	
4724	761351	7091	
5131	2149896	4397	
4947	772494	7031	
6000	1976305	4509	
5037	673237	4394	
4911	685646	6888	
5131	2014094	4222	
4855	731143	4000	
4667	685673	7216	
5311	1979671	4127	
5540	695272	4023	
5344	705162	7153	
6301	2077871	4174	
4624	761371	7198	
5129	1841921	4183	
4698	730133	4130	
4682	715762	6789	
5313	1995285	4381	
4677	811603	4219	
4836	768876	6996	
5314	2274519	4198	
4672	795890	7497	
5731	1914865	4735	
5272	759445	7767	
4957	706097	7233	
5666	2166034	4589	
5547	786165	3426	
5167	2077156	8089	
3209	2070961	7854	
7347	2198441	4486	
6961	772687	8106	
8191	2009068	3667	
3898	830137	7606	
4463	2167098	7021	
3523	2040468	8284	
4502	1988459	2811	
3467	724084	3237	
4392	1923700	6743	
3249	1993287	8391	
4024	1937917	3600	
3196	719820	3224	
3543	701868	5923	
3789	2169724	2893	
3475	786689	3343	
4410	1986028	8379	
4162	2133016	7637	
4659	2029308	3553	
3945	664064	2874	
7438	2000250	7077	
4158	1953745	7550	
4375	1856046	3107	
3618	689107	3161	
3445	708121	5605	
4386	1980927	2991	
5089	621361	3021	
3260	709540	5807	
4203	1915439	3030	
3783	661060	3126	
4491	1982001	7590	
3416	1859920	6633	
3938	1936322	3514	
4124	690167	3258	
3444	776528	6091	
3949	1954611	3311	
3279	692290	3281	
3267	669934	5542	
4088	2017282	3568	
3380	756546	3370	
5986	1810873	7612	
3434	2028486	7531	
4918	2046394	3682	
3349	705339	3160	
3265	664091	6436	
3787	2053872	3504	
3827	726192	2753	
4718	2165059	7014	
6156	2039713	8159	
3959	1894336	3605	
4036	768085	3255	
4988	2082738	8173	
5076	2332001	8457	
4704	2170246	3832	
3449	721726	5877	
3781	2134304	3583	
4140	699112	3417	
3671	643704	5587	
3763	2096884	3383	
3449	803624	3398	
4618	2109553	8350	
3326	2137437	8223	
4600	2007504	3526	
3310	711390	6199	
3879	2077253	3316	
3329	775457	3309	
3345	822528	6278	
6242	2047228	3546	
3413	726723	2800	
4791	1948135	7858	
3269	2128884	7738	
3602	1969262	3480	
3555	681031	3400	
3534	729275	6208	
4310	1950262	3411	
2722	827835	4933	
3593	1992024	3472	
6495	720890	3307	
7880	769837	6711	
8936	2213685	3791	
3409	889608	5627	
3849	1823593	3439	
3722	650832	3206	
3222	738685	5708	
3802	2043032	2867	
3968	723960	2825	
3735	722929	5403	
5354	2091846	2768	
5239	840698	6213	
3753	1853394	3408	
3237	661834	3269	
