Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v3/mtpt/zzzTemp.txt : len : 10 loops : 1000
WRITE	FSYNC	READ
771286	941103	965048	
933371	733068	1631	
720434	715864	1495	
784552	815302	1540	
728350	762292	1808	
786670	832562	1515	
828564	765157	1532	
815973	733417	1487	
781854	770457	1461	
853856	759303	1616	
896011	942068	1226	
856494	771925	1721	
844457	932238	1811	
855107	722899	1696	
950490	787725	1693	
896650	826138	1726	
821423	823048	1754	
801362	879542	1320	
702940	727507	31373	
860432	778680	1674	
752510	824338	1704	
833524	731962	1681	
719427	868250	1347	
792410	888132	1440	
772502	863016	1780	
752908	881003	1630	
946215	824178	1663	
906549	891372	1375	
788619	774983	1219	
804948	722407	1668	
743760	806665	1725	
738389	917360	1751	
838841	804490	1714	
921173	821753	1229	
763762	1010266	1420	
870857	853768	1234	
938588	891406	1681	
763861	897392	1684	
822979	838932	1783	
788280	941033	1782	
936313	950133	1719	
867789	862245	1599	
825390	738811	1780	
754825	729544	1486	
724574	761171	1673	
836689	1079610	1428	
1803831	856086	1725	
915066	1794519	1691	
803416	868760	1713	
925234	858352	1572	
830671	863801	1215	
768428	767716	1602	
819317	882402	1369	
953406	795336	1302	
1105298	1465327	1424	
979197	845377	1292	
903572	914862	1888	
950184	811676	1884	
1010622	1006963	1953	
939908	902704	1772	
2205425	846477	1356	
757891	844335	1714	
808787	793100	1764	
868904	860132	1556	
734549	833867	1674	
791534	889499	1694	
868143	794293	1615	
737562	785966	1780	
734541	777396	1736	
751888	823298	1270	
899226	766497	1751	
840387	906691	1646	
911380	1069287	1694	
825253	742343	1663	
818226	972454	1580	
1056791	821737	1435	
899328	773542	1509	
760031	789806	1557	
815707	820928	1812	
930767	788209	1252	
717784	903115	1508	
720097	704838	1433	
844446	860134	1234	
791723	739355	1470	
738222	736962	1484	
730169	701852	1583	
815329	696277	1574	
787548	729897	1703	
762956	852202	1804	
761304	839940	1731	
959612	958227	1453	
822735	841990	1720	
868504	766685	1635	
805507	859536	1189	
895382	912456	1487	
943697	944200	1363	
880899	815722	1659	
777651	798125	1379	
845378	927883	1840	
807410	732951	1752	
786721	851284	1874	
772104	835103	1686	
746893	791581	1748	
801715	723929	1809	
790374	771777	1745	
861892	906892	1662	
871005	857438	1815	
815688	865587	1813	
825272	864786	1731	
716956	816729	1800	
884195	802525	1439	
854107	875559	1729	
746022	761273	1812	
870150	974810	1431	
938913	948626	1717	
777516	832336	1774	
716318	855475	1793	
907403	832232	1361	
780478	1071241	1686	
885871	941807	1783	
785634	783750	1738	
799002	973903	1840	
877540	871221	1276	
845125	889112	1522	
996107	798677	1769	
965731	1186566	1654	
810248	902821	1580	
1008409	916667	1752	
869082	1027714	1338	
985572	957109	1376	
918707	943243	1751	
966018	873842	1713	
844029	833992	1713	
723012	823302	1717	
923116	848634	1471	
866536	762672	1802	
929159	931489	1734	
973759	848253	1800	
817905	846637	1758	
1040283	902790	1229	
814918	831159	1756	
955746	958759	1791	
818862	959986	1797	
812693	934244	1737	
897136	950050	1775	
806830	951856	1304	
773514	967063	1341	
1081780	1051059	1984	
1066858	909687	1455	
774514	768693	1634	
772883	761183	1603	
841940	852879	1898	
829020	745953	1697	
879340	737443	1688	
803379	910150	1620	
3565618	1026276	1786	
923307	892550	1612	
993920	865391	1989	
818074	915290	1737	
