Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTemp.txt : len : 100000 loops : 1000
WRITE	FSYNC	READ
2129337	187325	156997	
2015899	161920	12391	
1993532	156820	12419	
2050339	173840	14019	
2053023	163346	13344	
2007226	170366	12426	
2004440	183142	12470	
2038722	168377	13077	
2112844	175625	12642	
1947581	156120	12229	
2011830	163710	19727	
2010387	163491	13566	
2003538	163181	12292	
2066291	167842	13444	
2013613	161994	13141	
2033745	168065	13364	
2027358	165444	12874	
2057724	169794	13380	
2038111	159749	12559	
2088173	171841	13129	
1988887	160732	13286	
1970140	155136	12960	
1997275	163046	12138	
2027299	162766	12932	
2065643	169959	13041	
2119722	165443	12903	
1991681	171421	15002	
1979302	157676	14062	
2074636	198190	24106	
2093361	169390	12861	
2164575	169205	13236	
2003936	159043	12811	
2080724	161571	13168	
2047651	162874	13275	
1997908	164653	13465	
2114338	164231	12916	
1971499	164450	17453	
2064107	180770	21181	
1999450	166397	18441	
2017116	161785	12530	
2075453	162914	13892	
1978851	153581	11878	
1987282	159477	12547	
1962764	157994	11948	
2028914	161055	13569	
2041459	165131	12080	
2146517	167737	12456	
2081062	169552	12097	
1991602	162129	15357	
2019792	166926	17980	
1963105	160502	12582	
2026253	159809	11999	
1983798	152915	12233	
2044037	168656	12833	
1971742	154871	12593	
2003663	154923	12358	
1959626	157268	12569	
2013948	158911	11730	
2027804	163785	12260	
2076723	168925	12746	
1978179	161817	12315	
2010073	164418	11729	
2008719	165135	12424	
2176191	180320	12580	
2148733	174433	12314	
1955147	159917	12107	
1969225	162057	12059	
2021717	161725	11791	
2037298	159833	11787	
2171944	193941	15678	
2161560	176926	12882	
2000799	162041	12105	
1971171	153932	11900	
2015049	173809	12082	
2070520	168994	12787	
2139896	160592	11880	
1993493	160696	12076	
2051481	164959	12279	
2069331	164935	12569	
1990100	154111	11890	
2030709	161331	12646	
2015149	160796	12844	
2010059	160643	12110	
1986723	169511	12227	
2174746	173479	13100	
2040094	163535	13269	
2035872	161239	12369	
2017238	164455	12603	
1968218	154965	12174	
1979781	158585	12363	
2028421	168038	11947	
2064987	162391	12526	
2115693	160298	12889	
2030327	156051	12808	
2003579	161410	12490	
1980806	169106	13629	
1989917	179890	14894	
2109045	161378	12873	
2116734	169987	13076	
1992828	159218	12596	
2025011	169915	13297	
2045224	160877	12211	
2047361	160338	12854	
2214282	180382	12626	
2132407	165978	11990	
