Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTemp.txt : len : 40000 loops : 1000
WRITE	FSYNC	READ
2331366	260798	229848	
2830541	291639	7534	
2174080	228226	8165	
2043731	227811	7043	
2529556	269836	17834	
1950106	197385	6784	
2211772	224641	8350	
2615972	214032	7043	
2696372	268596	6403	
2669001	246305	6792	
2692703	215351	6666	
1940485	198601	6300	
2662731	223800	6441	
2132284	215206	6175	
2519112	245016	6443	
2378152	254205	6371	
2574222	229751	6337	
2197433	206768	6450	
3058205	263680	6463	
2425885	263023	6754	
2523414	298564	6713	
2905757	289598	8020	
2627538	307405	7159	
2456836	298029	5646	
2278603	225506	6399	
2266423	210634	6119	
3154638	230824	8646	
2618382	257057	8227	
2372479	264854	7689	
2650178	269980	8009	
2905887	263005	7012	
2378601	248938	6005	
2484718	258913	6326	
2429068	220848	7160	
2481642	193825	6756	
2582159	252114	7531	
2666738	237070	7366	
2390520	220892	6402	
2271176	290137	6405	
2418718	323622	8565	
2377954	289667	8874	
2748183	248683	8972	
2961475	296825	8050	
3230103	324675	8438	
2918147	257598	6959	
2538973	325991	8189	
2676831	209744	8035	
2266279	313167	6593	
3096752	293176	7998	
2531987	281739	6443	
2387628	249491	6880	
2666620	269118	7040	
2476512	245977	6724	
2773324	327992	5974	
2505402	266608	6440	
2339351	222968	9136	
2715498	249356	7361	
2523665	240107	6689	
2608982	283186	6051	
2860539	286368	6512	
2633393	385958	5506	
2109379	307630	6679	
2320024	375303	6094	
2342446	255940	6653	
4404258	215014	9603	
2383558	265935	6696	
2445413	270920	7515	
2184250	204509	5674	
2567497	261740	6197	
2605795	261951	6824	
2511376	322261	5041	
2901649	275903	7548	
2473222	260610	14120	
2388147	267261	6641	
2310054	290410	6758	
2254925	205350	6094	
2198312	285092	6093	
2522237	296354	6076	
2259247	218593	6004	
2313187	287447	6652	
5349104	252914	8483	
2586768	236548	6031	
2280740	326447	6269	
2198450	255282	6067	
4313574	298569	7580	
