Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v3/mtpt/zzzTemp.txt : len : 1 loops : 1000
WRITE	FSYNC	READ
913266	883899	923505	
937839	778829	1540	
784049	834069	1462	
735751	870450	1724	
854535	993397	1483	
845888	884408	1489	
895089	856835	1342	
906829	3903819	2178	
1071433	1042700	1537	
948373	852074	1359	
899592	831518	1644	
791955	932224	1714	
924475	883638	1329	
779025	841405	1579	
724026	873258	1573	
857390	827794	1931	
782755	887609	1851	
843592	762075	1663	
868139	946281	1644	
963887	842935	1630	
918912	802269	1204	
819377	836482	1322	
882900	974849	1551	
872822	844759	1712	
849666	862934	2251	
931262	823559	1466	
956268	875827	1610	
923191	848314	1542	
827292	782026	1678	
860927	942415	1680	
942949	896628	1715	
2837721	936359	1784	
777078	863688	1421	
802304	707105	1651	
869727	975535	1458	
871433	925954	1934	
859231	860483	1856	
940657	915487	1542	
810916	783663	1793	
789950	864917	1594	
1029967	1464967	1505	
1004181	976707	1840	
812084	855455	1354	
805211	803498	1411	
875571	861535	1906	
873896	844376	1400	
878392	931366	1771	
843963	1143431	1414	
943476	926905	1354	
730159	831175	1552	
827296	833532	1294	
941864	1047685	1888	
794826	782958	1400	
792706	817983	1511	
885183	797857	1522	
715156	829972	1608	
927637	897433	1485	
755943	728703	1249	
709758	716222	1331	
821380	831988	1446	
1814687	904855	1810	
731623	802383	1460	
752115	1004615	1502	
918333	821374	1456	
783337	832367	1622	
810973	838964	1789	
1035868	890616	1816	
815757	1028836	1742	
910540	803101	1453	
927667	806052	1518	
911173	911368	1484	
846043	957628	1811	
913808	868360	1791	
804519	1026256	1620	
867643	868119	1632	
804060	902825	2146	
793024	1015005	1775	
887476	928093	1745	
826411	945667	1684	
807249	1047290	2014	
1016089	818274	1589	
802663	1159144	1636	
778037	844184	1734	
887864	944680	1724	
777959	963849	1786	
1010012	815765	1831	
966582	981743	1528	
911631	921605	1627	
797720	1028765	1757	
851629	1093469	1841	
944060	884486	1814	
937255	873343	2020	
802692	968607	1657	
845367	909665	1679	
902307	813922	1682	
1008733	1045641	1886	
950284	882942	1685	
895559	973841	2054	
897564	935795	2183	
830746	850928	1472	
830565	983381	2054	
738251	784379	1317	
1056535	888645	1280	
902182	897490	1742	
860821	904760	1789	
919364	816325	1664	
784652	934645	1628	
1086912	936088	1819	
924522	774993	1553	
967294	825596	1728	
762194	839937	1169	
855759	1031002	1794	
861939	1034638	1311	
888028	828280	1635	
892389	927991	1489	
1626467	1087179	1443	
888726	990517	1372	
920947	916509	1958	
913178	1026892	1508	
1007618	932715	1527	
1460848	953910	1396	
901766	885678	1914	
918311	898032	1896	
919544	979847	1680	
902872	994842	1828	
957519	943968	2145	
1010477	1117356	1474	
924994	942332	1462	
807792	776782	1778	
894465	889699	2154	
952894	852534	1544	
933459	882971	1603	
881533	940989	1862	
840580	826468	1380	
861437	1031927	1734	
1009491	958276	1804	
771553	925677	1596	
716174	965438	1608	
907271	905231	1816	
980799	921491	1857	
930483	740414	1692	
889015	1084049	1596	
1073817	955581	1422	
940467	999479	1698	
1071040	928382	1952	
1007602	993027	1800	
927200	862661	1854	
948178	984509	1383	
1052200	1109242	1760	
877100	965168	1553	
825565	900577	1483	
898957	896794	1778	
907832	850983	2237	
874249	935966	1822	
1078619	869823	1653	
923303	865097	1714	
877502	919791	1832	
1028872	876072	1886	
995481	856287	1806	
819877	788020	1695	
918962	913571	1668	
1151076	1117688	1570	
868966	965587	1463	
812915	800536	1622	
795089	1812779	1729	
878192	864355	1738	
960104	903054	1244	
841916	817333	1314	
787140	807556	1398	
761418	835408	1362	
817411	815642	1375	
912486	968796	1370	
928169	866766	1276	
832015	894123	1423	
889240	799835	1260	
842298	1127124	1419	
1056268	959815	1872	
766741	832483	1752	
763291	867420	1922	
892337	838674	1807	
946768	837688	1438	
711136	901421	1832	
817054	804211	1394	
879712	835111	1518	
963773	833491	1662	
858992	979863	1607	
831163	891899	1836	
847023	713853	1863	
792224	688551	1924	
714253	820398	1638	
856350	816994	1553	
849840	863963	1809	
793729	748335	1878	
813418	868934	2272	
908491	820101	1995	
932965	840322	1601	
882181	788026	1555	
880463	766817	1556	
842843	862659	3591	
785778	770891	1779	
901325	881998	1942	
828280	801554	1528	
754183	782747	1417	
673695	948992	1557	
833864	933219	1748	
879220	878839	1791	
862966	822000	1816	
766168	779084	1622	
682594	729166	1425	
788528	897059	1835	
776457	760979	1413	
758321	784348	1428	
848668	920653	1322	
914755	836680	1890	
926107	788262	1523	
759450	829568	1491	
839209	858345	1545	
748830	818624	1818	
757168	881278	1519	
894652	856019	1448	
786472	868574	1798	
736851	846677	1530	
839287	815030	1750	
747170	937826	1803	
728147	965145	1777	
849868	738167	1560	
913474	868514	1648	
894608	845106	2227	
774100	804064	1546	
706744	946819	2262	
849124	829817	1721	
871229	851277	1503	
800361	760658	1695	
776042	846115	1428	
799823	933285	1213	
941875	870104	1801	
816003	894092	1725	
913101	917129	1727	
841068	863609	1807	
734811	1124285	1604	
1044948	733174	1711	
834033	879134	1678	
874507	868697	1972	
1145837	859255	1597	
908539	1123192	1818	
818188	839832	1626	
782353	839806	1946	
826890	1291014	1656	
814323	870512	1822	
722905	717260	1605	
761418	678462	1884	
777568	767423	1711	
765554	791848	1893	
1004004	917548	1635	
914863	956052	2078	
880417	812422	1378	
934024	786316	2040	
762407	790639	1551	
779944	824081	4160	
825458	696605	1856	
769220	753536	1803	
809957	817522	1775	
813453	750699	1760	
748398	792356	1778	
681995	785291	1973	
837323	878473	1884	
1004179	876165	1928	
817152	825578	1595	
819008	968599	1825	
764123	929319	1407	
887111	838632	1729	
767453	685553	1438	
855262	806975	2067	
816244	831282	1599	
745268	839790	1743	
932870	957278	1512	
827716	814000	1442	
911813	916556	1978	
769683	827889	1514	
809999	767994	1466	
758411	840113	1710	
792317	858341	1936	
920044	844377	1742	
764726	752093	1478	
893924	891551	1972	
893736	810280	1735	
825508	755924	1386	
949114	849676	1140	
804921	735461	1131	
867057	756238	1290	
748319	865989	1229	
806791	800229	1842	
942245	898175	2624	
960388	907529	2029	
850671	986894	2158	
899424	833322	1812	
1003513	954380	1895	
837802	940632	1787	
834041	915679	1903	
818420	860521	1490	
890760	849073	1700	
665798	888116	1892	
862606	798647	1504	
1019483	1087966	1898	
850034	1078381	1775	
949118	924191	1397	
901678	1000833	1418	
825028	798311	1118	
690280	838088	1546	
864475	841589	1428	
854849	852676	1376	
852135	859259	1374	
1003117	936845	1665	
901880	1006527	1650	
936475	960011	1904	
870356	836214	1675	
825521	828275	2000	
925475	890572	1791	
829841	725780	1536	
815752	748345	2042	
