Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v2/mtpt/zzzTemp.txt : len : 100 loops : 1000
WRITE	FSYNC	READ
827578	797111	843880	
753485	955432	1601	
1149086	954003	1715	
1987282	1005423	1926	
1073188	1002555	1831	
931277	911915	1700	
852505	820971	1665	
933042	888219	1679	
1085770	849124	1840	
848115	753372	1599	
778387	936395	1608	
851424	818069	1761	
786969	842804	1708	
900742	851466	1849	
815651	773393	1787	
884927	966902	1414	
744035	828795	1505	
1049808	984212	1905	
860677	782548	1697	
742369	876277	1605	
809121	669324	1594	
785835	824499	1483	
780294	782505	1719	
919436	754896	1997	
862107	908696	1855	
836248	764103	1748	
779559	778451	1612	
872959	775047	1510	
836120	1051563	1496	
828766	941125	1668	
866879	911980	1823	
904172	1092528	1851	
913820	876153	1471	
814688	862594	1600	
827628	878695	1540	
851046	870223	1654	
876675	783405	1673	
894433	672035	1619	
700758	848644	1622	
864774	803511	1569	
898533	810449	1680	
848306	841749	1788	
910682	964551	1892	
818704	737408	1757	
738330	836717	1762	
817310	789487	1565	
797805	919425	1335	
822664	874923	1776	
842252	811080	1698	
953902	869891	1251	
813853	873139	1512	
1049194	812474	1682	
881030	818360	1750	
2114516	868294	2166	
722424	722206	1735	
957429	835305	1785	
980166	1005608	1342	
811478	816725	1698	
800325	873663	1704	
862326	938255	1782	
837543	913876	1893	
885979	910384	1526	
766001	802480	1677	
781603	963738	1733	
833445	775379	1727	
836806	733648	1790	
845312	920025	1605	
901831	930963	1696	
767629	746739	1832	
1089440	818839	1680	
991828	911979	1838	
929800	836869	1753	
961515	919009	1448	
869491	854269	1706	
808716	802268	1754	
817835	758853	1808	
801603	823823	1899	
843627	884329	1877	
777709	921630	1693	
801041	728549	1584	
1009620	1063131	1825	
844431	753669	1761	
708162	719937	1580	
745433	714810	1831	
1045791	733621	1759	
869968	901799	1553	
976279	938095	1777	
734380	806304	1703	
761429	828357	1799	
884483	989031	1895	
950728	792747	1656	
876146	750431	1789	
743933	870174	1629	
817003	938378	1858	
857792	851815	1706	
842175	994168	1429	
871834	971858	1557	
751227	727051	1586	
854611	843203	1838	
