Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v3/mtpt/zzzTemp.txt : len : 10000 loops : 1000
WRITE	FSYNC	READ
2717254	939526	945373	
2440703	983697	3416	
4168626	924688	3762	
3745803	1061960	3212	
2672218	850157	2887	
2428573	820400	3288	
3872401	986344	4248	
2557463	1037833	3984	
2850348	816103	3198	
2399516	802630	3138	
2445268	809497	3043	
2459624	706407	3027	
3749846	875614	3291	
3034317	991955	3424	
2638399	839899	2981	
2449276	723025	3017	
2803234	980856	3956	
2737121	1031280	4118	
4862902	846605	3706	
2611143	867210	3050	
2600161	891116	3182	
2558603	773539	3242	
2831224	873701	3013	
2520017	772933	2869	
2652911	964082	2603	
2625870	744836	2810	
2764426	788058	2620	
2626112	861045	2956	
2554185	837763	2492	
2507883	796136	2460	
2314760	676346	2889	
2464467	749038	2836	
2967393	926011	3019	
2328760	929072	2493	
2783630	908050	2860	
2617199	834500	2819	
2444685	901678	2419	
2571233	796451	3037	
2550057	813007	2489	
2672389	801578	2875	
2593955	800375	2886	
2566323	829712	2870	
2530366	841010	2969	
2772716	886460	2363	
2595333	863170	2838	
2508428	888174	2839	
2447588	846614	2301	
2604109	813171	2534	
2526109	754590	2650	
2644832	794518	3174	
2568305	901885	2467	
2681724	741857	2885	
2422471	835540	2985	
2538388	960822	2887	
3294423	1034798	2823	
2910998	866329	2544	
2848347	974700	3068	
10310211	935134	3198	
2666860	837040	2957	
2486157	755877	3054	
2403125	704561	2899	
2622572	820753	2994	
2232385	902941	3076	
2595185	802708	3041	
2393019	977424	3089	
2708840	818287	2558	
2257297	897953	2729	
2761890	914610	3583	
2454496	670036	3099	
2322112	818235	3141	
2564815	883666	2416	
2571661	952905	3209	
2726671	850337	2833	
2723811	751911	2216	
2561739	874626	2740	
2694465	720012	3162	
5628495	903877	3685	
2526552	1293087	3692	
2909086	872021	3464	
2341701	821510	2652	
2423581	825925	2959	
2366785	840527	2973	
2395139	702907	2730	
3057614	994963	5803	
2587113	862039	2583	
2466958	707648	3030	
2385163	733953	2851	
2589595	1065102	2384	
2455056	865158	2707	
2301401	849890	2435	
2477118	825542	3009	
2562790	1059094	2260	
2553344	720602	2459	
2547820	848460	3017	
2654241	829195	2417	
2524192	682987	2668	
2352859	999806	2879	
2767269	849072	3250	
2568367	751677	3198	
2753702	768364	3513	
2595894	867709	3243	
2604948	837046	2480	
2436804	827557	3023	
2495601	827430	3353	
2694846	901571	3177	
2681611	772546	3863	
2946282	875317	3637	
2634570	974246	3763	
2620347	756676	3995	
2639590	775399	4068	
2358737	723057	4013	
2685507	788088	3957	
2596113	769630	3565	
2900997	823948	2851	
2433765	856218	2962	
2360686	842019	2516	
2731394	1040468	3258	
2629526	827541	3098	
2407322	1092702	2610	
2520835	832798	3419	
3636715	867330	3466	
2515957	833962	3319	
3886563	998630	4314	
2627676	807783	3174	
2665594	830667	2908	
2414592	760677	2832	
2616797	698026	2864	
2435360	912320	2388	
2584385	849305	3154	
2794193	824340	2894	
2533653	866075	2771	
2843738	845843	3187	
2766765	796575	3168	
2668615	928838	3460	
2732613	746431	3236	
2769010	806517	2913	
2649075	849886	2875	
3490472	955461	2839	
2684374	746913	2989	
2716990	779630	3030	
2610984	894327	3076	
2643798	789340	3291	
2562515	876211	2666	
2353079	746625	3076	
3003032	1550425	3585	
2804413	831665	2968	
2787257	862719	3265	
2650130	882196	3029	
2689472	1100323	3403	
2843617	979370	2876	
3001922	968152	3160	
3064721	917358	4771	
3248661	886237	3949	
16874941	914218	5084	
2850168	3922245	6273	
3061170	991800	2944	
2627275	788850	3911	
2406988	857868	3506	
2626557	1060524	3793	
2631356	740757	3317	
2734198	805769	3658	
2476724	820205	2867	
2821928	998213	3345	
2740708	818672	3373	
2712577	838370	2638	
2583423	782948	3452	
2813167	740282	3396	
2568382	764121	3020	
2561143	849878	3283	
2754145	855600	3168	
2864716	867298	2534	
2764665	802072	3234	
2768968	746092	3051	
2376706	950712	3388	
2536548	806219	3111	
2650842	895522	3257	
2458926	821474	3019	
2384538	765933	3208	
2289366	857344	2625	
2595221	783448	3497	
2552337	675946	2998	
2717710	842313	2937	
2599831	774301	3051	
2347365	932901	2697	
2467119	827653	3250	
2754281	1035747	2312	
2552886	833928	3071	
2820415	862960	3315	
2722688	835778	2933	
4034447	1012032	4166	
2599182	799661	2991	
2416406	880709	3518	
2510526	957272	3485	
2756588	850593	3451	
2733928	1112938	3217	
2669756	832241	3948	
2909843	889748	3878	
2735632	965925	3550	
2837441	841066	3330	
2810315	1061030	3273	
2692436	809960	2835	
2866238	940156	3444	
2751823	873998	3107	
2593661	876038	3416	
2566859	890192	3143	
2586220	839556	2883	
2449000	803682	3163	
3088084	883992	3373	
2988268	1005157	3063	
2700198	983953	2428	
2748217	824512	2818	
2639807	887893	2921	
2727162	832244	2788	
2709079	882070	3792	
2575792	846246	3082	
2749892	962997	3420	
2801798	932297	2894	
2596852	906162	3431	
2631491	831295	2470	
2420136	865003	2378	
3148473	842198	3091	
3055238	820916	2372	
