Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark/zzzTemp.txt : len : 20000 loops : 1000
WRITE	FSYNC	READ
10748	2675122	18582	
11267	2023076	10637	
7874	2321729	11062	
10374	2379733	10451	
9050	2407985	6085	
7135	1213199	9277	
8732	2150257	5935	
8194	1159192	8901	
10044	2498500	12198	
8640	2004962	6348	
8421	1042819	8958	
8350	2437401	6301	
7920	1275727	8875	
8028	2370790	6068	
9643	2481072	11003	
7480	2104290	10574	
8622	2352494	10091	
8189	2469398	6420	
8020	1152699	11014	
8130	2419759	10680	
7855	2337888	5422	
8167	1237640	9422	
10161	2283921	5813	
7991	923948	7850	
8340	2463028	6608	
9748	2494904	10559	
7874	2410189	11169	
8609	2418996	11139	
8610	2316667	6287	
9657	2141315	9902	
10931	2411958	11969	
8140	2566031	10990	
8581	2537711	6584	
9548	2552376	10836	
7925	2387909	9982	
8460	2115425	10758	
8800	2407994	6530	
7954	1229289	9040	
8498	2179450	6368	
9836	2771789	11315	
8084	2740369	10760	
8245	2744259	10487	
7009	2713352	11070	
7926	2452285	6291	
8797	2552504	15069	
7634	2446218	10614	
6780	2619148	11214	
7294	2123434	6180	
8215	1264152	9393	
8036	2561732	11120	
10496	2444897	6411	
7656	1125297	9097	
8616	2110501	6140	
9600	2284331	11140	
8148	2141703	11255	
10485	2503501	11098	
8640	2544003	6579	
7770	1232568	8220	
10678	2327855	6328	
11326	2473681	10815	
8438	2147101	10688	
10080	2417335	10235	
9320	2531888	5887	
14382	2903919	10908	
6477	2550160	10845	
8051	2493753	10989	
14485	2600799	10398	
10098	2917828	6455	
9858	2598453	10893	
7461	2548429	10819	
8028	2586681	10869	
8139	2670670	11569	
12703	2578319	5510	
10941	6777880	16138	
10719	2525089	11155	
10557	2586480	11868	
9325	2576519	11573	
8585	2596536	6430	
9658	2584592	10473	
10308	2703009	10081	
10018	2520233	10895	
9734	2244433	5794	
10897	2614135	10657	
8461	2806343	11101	
8677	2414932	11116	
12705	2212185	5369	
10086	2698908	12661	
9998	2668413	10155	
8813	2265978	12849	
14092	2623575	12553	
13973	2726697	11762	
8761	2551049	6480	
8855	1093093	6997	
8961	2776388	12433	
9698	3361978	5998	
9542	2871976	1274859	
8748	2220447	10848	
8704	2521225	12508	
8789	2443423	9874	
8692	2668107	9389	
9120	2643797	5331	
10800	2717300	9673	
9624	2629575	9451	
13071	2567345	11035	
9172	2483867	9516	
8565	2570823	6182	
11811	3361486	10391	
15091	2663696	11298	
9966	2558868	10604	
12287	2398620	9657	
10105	2509642	8980	
8464	2398240	5348	
9368	1155665	6796	
8367	2317719	6218	
10603	2546701	10736	
9049	2704562	10552	
8372	2520630	10492	
8908	2452167	6348	
9782	2627277	10147	
7474	2248184	10453	
8340	2582133	10463	
7625	2792975	9048	
8366	2837333	6584	
10404	2343732	10847	
8673	2641225	9950	
10140	2837599	9460	
11676	2358693	9874	
12257	2609577	6404	
8586	1277476	7494	
9194	2408145	10032	
8569	2443059	5669	
12106	1197825	7485	
9915	2689447	10068	
8970	2382909	6204	
8983	1293087	7127	
8820	2698215	10686	
9118	2652531	5139	
9053	1222960	7649	
11019	2808549	11230	
14846	2826252	11767	
14736	2408986	6680	
14983	2582002	11008	
13468	2692416	10774	
13518	2469552	10939	
13040	2624290	11069	
13323	2555642	11118	
13140	2792576	7020	
13194	2648179	11537	
14359	2535902	11176	
7673	2480743	10432	
8429	2349469	10720	
9151	2708067	6318	
10107	2733000	10265	
7739	2861861	10464	
7838	2633306	9904	
9819	2466536	8650	
9000	2439129	6266	
9822	2104067	10508	
9066	2666004	8914	
12267	2409695	10637	
9890	2419761	6378	
14625	2537115	9368	
8228	2660720	10871	
10010	2473613	10251	
9545	2403187	6109	
16143	2344871	10662	
8833	2566739	10988	
12038	2461164	10449	
13789	2480906	6096	
11203	2559680	11117	
8053	2334732	10484	
9548	2495918	10667	
10875	2503605	6579	
13643	2375555	9146	
8154	2388221	9185	
11423	2455764	11073	
8192	2465256	5798	
10481	2157021	10307	
8083	2443823	10311	
8472	2457181	11257	
12026	2468085	6268	
10492	2288879	10747	
7524	2345469	10233	
8802	1914526	5810	
12471	2375227	10330	
8618	2467163	10770	
8818	2444656	10286	
9346	2466957	5535	
12676	2459778	10546	
8645	2440907	10589	
8492	2363142	10016	
12334	2723188	11105	
10738	2580714	5660	
23950	2181422	8831	
9018	2517422	10154	
9700	2654585	10494	
8932	2052079	6474	
9428	1224121	7556	
9438	2587614	18514	
10061	2656579	5980	
9604	2687169	10163	
8248	2417569	10461	
8946	2531982	41571	
9829	2330853	6047	
10095	2502435	8566	
7732	2225635	8598	
8251	2411759	9993	
12385	2391791	6248	
9373	1102426	7886	
9770	2423814	11061	
9313	2437003	6028	
10567	1217540	8929	
10280	2211615	6628	
11001	2646606	10143	
8169	2661580	9997	
13365	2348639	10598	
9540	2565329	16605	
9252	2288206	5968	
9075	1136927	7740	
8375	2672250	10796	
9804	2382186	6168	
9882	1135757	7495	
8057	2518236	6284	
11078	2203826	11646	
9266	1978842	10079	
9459	2292521	5914	
10245	2543211	11804	
13798	2515183	10279	
8691	2590861	8755	
8574	2819782	9343	
9922	2153401	6292	
15317	2557813	9540	
8058	2428096	9606	
10658	2427434	10433	
12828	2471591	5231	
9513	2623427	10515	
7833	2498849	11891	
8576	2622588	10497	
7894	2122939	6170	
10094	2597507	10948	
7826	2549216	10983	
10195	2349386	9852	
12181	3307774	9985	
7480	2380324	5594	
8924	2499761	10068	
8568	2481275	9726	
14838	2275587	10779	
10517	2501828	5298	
9342	2453243	10168	
8266	2567790	8574	
9482	2488502	9747	
12565	2709963	11908	
14869	2490864	5409	
14676	2508776	11440	
12061	2392331	10986	
12936	2370808	10902	
12155	2822983	10989	
13091	2508068	6334	
14618	2536007	10608	
11768	2519018	10221	
12019	2524427	10147	
12531	2442745	10932	
13382	2640721	11146	
20456	2614719	30075	
12720	2756707	6044	
11578	2055776	11654	
7853	2404016	10933	
8352	2442642	11506	
7796	2245770	6436	
8078	1194264	9189	
8565	2448013	6334	
9916	2395227	10588	
7527	2423098	9922	
9087	2560165	11036	
8753	2510563	6910	
9547	2148904	11360	
10580	2074741	10863	
8247	2442734	6989	
16910	2510540	12664	
15872	2832024	12837	
13614	2478154	11888	
8260	2552337	11455	
9100	2069110	5306	
10266	2429318	11653	
8108	2377984	11078	
8825	2429189	10934	
8238	2206828	6226	
9602	824561	8932	
9928	2215262	6065	
7915	1155317	8089	
8720	2214821	5566	
9131	2275247	10706	
7971	2108115	9654	
7706	2406829	10880	
8395	2357125	6426	
