Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v2/mtpt/zzzTemp.txt : len : 20000 loops : 1000
WRITE	FSYNC	READ
4975253	828231	792123	
4062256	828618	4287	
4084522	749792	4249	
4526678	922384	3424	
4090762	655415	4228	
4198047	734760	4326	
4464334	754871	3518	
4441338	769006	4668	
4303588	663270	4120	
4198780	833081	4441	
4489294	901822	3639	
4345241	830246	4213	
4372463	885122	3621	
4486302	659012	4254	
4296779	793000	4241	
4023802	728340	4029	
4172891	789810	4173	
4152582	876658	4454	
4367423	810907	3222	
3974776	921179	3437	
3725818	798891	3524	
3961487	795450	4427	
4661961	754026	4184	
4382421	935125	4540	
4392294	793956	4348	
4476930	753072	4172	
4422360	924346	4475	
4121154	758880	4423	
4147790	810728	4456	
3962325	722896	4354	
3902706	755217	4379	
4028028	764605	4077	
4229232	878796	4389	
4196163	821531	4286	
4229832	839834	4254	
4913924	778277	4507	
4195172	937061	3500	
4444124	828612	4353	
4246791	822094	4126	
4366896	821712	4063	
4503193	814633	4063	
3955482	782246	4580	
4452114	766461	4390	
3974973	813174	4065	
4314290	950570	4656	
17451800	864403	6866	
4877915	942665	5514	
4511865	809710	4336	
4661528	942749	3540	
4758270	886803	4605	
4555511	825273	4460	
4842389	885004	4815	
4440861	817087	4081	
4331837	885990	4229	
4603271	856703	4251	
4307943	818642	4310	
4345006	922530	4180	
4711388	889018	5092	
4125019	812620	5086	
3841606	726788	5145	
4447250	853744	5057	
4464525	998626	3980	
4190484	836804	11576	
4409756	920785	4497	
4271688	925725	3492	
4081744	798670	4121	
4538420	791480	4212	
4016709	826926	3483	
4284084	858044	4540	
4253090	928349	3361	
4168447	823946	4277	
4374172	856366	4422	
4940944	743739	4189	
4398344	913737	3691	
4355504	920282	4509	
4255297	752569	4254	
4832035	876834	4826	
4076656	800575	4186	
4239950	800168	3394	
4038218	771035	4021	
4325164	973054	4371	
4764123	847751	4211	
4103864	936083	4170	
4388903	740458	4506	
4399536	905412	4229	
4177434	872706	4069	
4252861	842400	3971	
7739846	728903	5889	
4416550	935954	5075	
4975127	913605	5920	
4899633	884983	4999	
4665706	868958	5322	
4698934	891205	4799	
4749382	836734	5309	
4903515	699102	4800	
4947905	831708	4440	
4340872	746060	4135	
4411142	909689	4783	
4371930	777253	4438	
4120623	775178	4425	
4247732	862071	4607	
4122030	891879	4440	
4753008	850219	4563	
