Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v3/mtpt/zzzTemp.txt : len : 1000 loops : 1000
WRITE	FSYNC	READ
944499	879997	912313	
837829	865594	1777	
857143	890191	1854	
1168125	950808	1811	
832231	742983	1899	
870531	949539	2210	
913013	1007329	2214	
923573	786361	1710	
983457	953892	1905	
719194	796834	1756	
776348	857139	1369	
968410	1053171	1530	
995173	853949	1554	
820378	739803	1516	
653544	768853	1543	
811997	798595	1557	
788310	682651	1621	
923398	789062	1712	
865153	922967	1474	
845381	976199	1335	
846279	834562	1581	
867731	899361	1728	
878920	738588	1788	
885699	833596	1794	
797404	786837	1714	
869756	867170	1445	
890205	999279	1698	
790985	814741	1597	
830406	813900	1806	
836970	945550	1721	
839342	782001	1558	
770907	763438	1500	
971269	811988	1817	
698372	710291	1697	
909473	729379	1585	
822208	810128	1763	
723074	792719	1747	
693097	788076	1723	
843855	756425	1835	
950695	768400	1818	
880891	753043	1835	
930396	736316	1834	
979108	839935	1608	
879576	827515	1705	
860302	809257	1370	
826868	904442	1729	
766136	904281	1546	
773235	836845	1296	
810398	833389	1620	
873272	860891	1438	
838925	779833	1836	
751637	1038542	1436	
860889	833134	1759	
874808	749062	1625	
809570	933377	1265	
871602	1142860	1664	
898470	812420	1697	
865713	994625	1819	
1027228	788568	1577	
859279	820338	1311	
784958	1007740	1348	
858289	924726	1591	
888083	890008	1811	
737517	744632	1580	
786631	896184	1897	
802848	758169	1691	
911827	788086	1825	
768755	824908	1760	
819871	841363	1582	
807752	848210	1805	
983083	824907	1900	
1001680	964096	1722	
836443	697321	1791	
908653	776312	1687	
810811	732728	1770	
869368	808305	1535	
855198	867181	1586	
1576739	839518	1868	
937517	873327	1713	
873002	883172	1766	
970238	933197	1578	
745004	902383	1389	
902561	797664	1584	
919099	899552	1789	
785267	934920	1646	
835166	929392	1768	
908767	788205	1764	
881292	839064	1759	
787861	845257	1824	
738491	733714	1589	
770997	794109	1588	
780071	909799	1814	
