Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark/zzzTemp.txt : len : 1 loops : 1000
WRITE	FSYNC	READ
6244	2393279	7990	
1954	2061008	2320	
2131	686605	4325	
1689	1920693	2125	
2117	670810	1509	
1238	672572	2103	
2097	683881	4373	
1738	2084133	2377	
2154	596394	1793	
1349	674213	2377	
2227	751537	4931	
1538	2050082	2220	
2100	563017	1726	
1837	653757	1488	
1122	676766	4984	
1655	2037855	1594	
1294	607179	1562	
1229	585200	2491	
1957	651742	6495	
2371	1937419	2410	
2298	661561	2398	
1923	633496	1882	
2143	729958	5655	
2466	2039953	1968	
1350	633459	1497	
1225	693832	1488	
1237	699019	4509	
1686	2193769	1667	
1295	715029	1569	
1293	648106	4664	
1693	2037563	1857	
1357	651090	1915	
1872	728630	1606	
1273	651549	5377	
2500	1909712	1850	
1373	656793	1620	
1296	566898	1584	
1296	591771	1509	
1252	646849	4413	
1703	1875864	1945	
1402	624710	1649	
1370	609209	1673	
2062	667756	5084	
2643	2061073	2192	
2115	635444	1746	
1940	564194	1419	
1307	563053	4529	
1757	1898417	1755	
1572	792229	1827	
2026	661066	2001	
2515	716123	6385	
1951	2062384	1781	
1259	629470	2013	
1848	690286	1791	
1780	671029	4960	
1726	2047836	2442	
1556	621883	1718	
1931	619921	1642	
1275	716143	6330	
2726	1989473	2004	
1290	646032	1765	
1792	633444	4587	
1711	1960732	1749	
1278	581281	1410	
1341	676622	1649	
1302	697559	1505	
3484	2041428	6276	
1436	1946321	5790	
1853	1980469	1935	
1397	635113	1391	
1305	628986	1578	
1307	623108	1649	
1998	684030	5102	
2620	2032082	1794	
1969	571068	1336	
1217	579378	1520	
1229	588971	4161	
1740	2022926	1481	
1347	694632	1414	
1305	770736	5787	
2383	1924735	2653	
1993	725697	2157	
2095	594377	2297	
2416	636246	6239	
2815	2067037	2309	
2090	748428	1862	
2079	653239	2204	
2129	733790	6646	
2816	2156109	2507	
2319	756460	1745	
1810	641317	2061	
1879	661864	6353	
3152	2312527	2274	
1783	678660	2074	
1375	611022	4764	
1733	2047690	1729	
1342	678441	1559	
1287	678311	2060	
1645	845239	4906	
1721	2055396	2265	
1642	606652	2017	
1820	678543	2022	
1606	646497	5493	
1839	1874497	2063	
1723	648963	1548	
1314	612101	1950	
1615	602683	4771	
1757	1790670	2265	
1758	602325	1628	
1244	610498	2028	
1701	574513	5715	
2758	1951259	1921	
1402	728630	1920	
4918	605811	1579	
1215	592637	4533	
1667	1842517	2285	
1763	573515	1807	
1300	552796	2129	
1596	600435	1682	
1341	600289	5026	
1710	1847848	1629	
1291	629991	1931	
1539	646180	2441	
2360	606864	5073	
1715	2032644	1692	
1384	621904	1634	
1355	607915	4781	
1387	606128	4480	
1769	1899641	2103	
1680	684437	1637	
1321	594854	1488	
1194	576246	1643	
1273	630864	4480	
1744	2148810	2031	
1743	782673	1579	
1437	634977	5542	
2515	2080588	2323	
2022	657646	1459	
1289	746342	1300	
1240	664824	3940	
1631	2248762	1518	
1221	778002	1998	
1948	666310	6068	
