Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v3/mtpt/zzzTemp.txt : len : 40000 loops : 1000
WRITE	FSYNC	READ
9302350	918973	872470	
7828627	854231	6960	
9082872	1001330	7475	
8163110	942160	8323	
8310279	897300	8449	
8450688	918172	8818	
8422617	1022125	8924	
8011326	904769	7610	
8428755	979525	7157	
8039929	878680	8207	
9001493	980509	8230	
9300938	920311	10523	
8935206	1015315	8448	
8581718	780551	7681	
8891784	833654	7531	
8393789	962274	6944	
8791196	742959	7178	
7951495	673425	7304	
8428924	764731	7568	
7779156	776975	6195	
8065836	856800	7272	
7837496	882661	7491	
7639284	872279	6376	
8871975	869611	8516	
8504193	860723	8740	
9591127	890751	7781	
8465556	783030	7894	
8281893	839505	8030	
8112721	803605	7270	
8767877	922059	12961	
10156668	977309	10608	
8539700	969307	9620	
8859093	935049	9177	
8440382	788778	7630	
8281736	807244	8295	
8204586	997597	11448	
8655334	905983	10158	
8170370	950825	12036	
8766965	1000503	9681	
9156429	852088	8502	
8354966	847967	8540	
8693015	786778	6661	
7838206	879400	8732	
8416016	753651	7760	
8165191	819829	8745	
8199382	759966	10594	
8171089	932901	8539	
8469054	850079	8596	
8743214	814944	7947	
8649155	865314	9776	
8568897	943422	9168	
8409490	818735	8300	
8275459	928679	10687	
9000336	953734	9860	
11456363	792708	10458	
8554916	812747	8732	
8404208	828674	6764	
8827370	888485	8189	
8875367	781461	8053	
8505333	729600	7995	
9393049	916486	9353	
8680618	853280	8184	
9030876	1008736	7947	
8303477	999273	7588	
8570740	808253	7655	
10092923	1001160	12179	
8598887	868862	8576	
8785118	987613	8164	
8893590	994463	7776	
12993023	842697	8065	
12365686	1027702	10409	
9156909	838990	8765	
9624323	783354	7476	
8008507	884762	7296	
9657423	1093878	7965	
8584769	830087	7937	
8801721	918766	7371	
8678089	918490	8574	
8828106	914820	11009	
8949055	1031098	7965	
8588574	894522	7368	
8368004	971611	7297	
8750257	989873	7536	
8098950	964261	7702	
8526333	918013	7436	
8370932	868724	8230	
8233420	832297	7375	
8878639	847316	7510	
8882917	889733	7986	
8712451	939690	7520	
9353396	916507	7852	
8837949	863533	7205	
8513064	895214	6263	
8533070	856877	7228	
8748375	926762	6200	
9139844	889176	8597	
8877353	879204	7782	
8757136	764462	7356	
9294558	848112	8385	
10304453	793555	8894	
9036541	978118	10086	
8448009	834406	11274	
8825123	804810	8148	
8229073	834676	10380	
8360633	956918	8032	
8303588	875326	7471	
9353005	942217	8707	
9522960	922147	7964	
9330563	868073	7572	
8955349	918154	7970	
8774606	875007	8629	
8567850	968028	9135	
8705985	911243	8870	
9059874	859402	7736	
8856038	1022934	7252	
8536116	890672	6749	
8192836	1052669	8881	
8970778	892257	8488	
8793435	794529	5900	
7745752	907700	7658	
9428869	855830	6944	
9569264	849438	9911	
8516118	878565	9900	
9381846	928504	17554	
8001538	795016	8815	
8685878	1021379	9238	
9074350	895774	7840	
8631059	876442	7108	
8260384	814982	10493	
8646662	906851	9201	
8559785	804753	8230	
8111046	806633	7627	
8956002	863494	7832	
8798074	866350	7048	
9395142	802821	9997	
8538107	1873465	9088	
8617735	853646	6664	
8759585	1017131	8368	
8988409	870467	7692	
