Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v2/mtpt/zzzTemp.txt : len : 100000 loops : 1000
WRITE	FSYNC	READ
22344452	755849	1009236	
22548886	863453	29314	
22280807	1104656	28939	
23104867	898709	31152	
22437646	820539	24218	
21643964	957432	30086	
23535524	849631	28440	
24412180	955739	32137	
23801709	1190306	32373	
23689661	947837	35794	
22406366	903696	30797	
23045816	883757	26755	
24619325	1005046	25650	
23404092	1864405	38606	
23416310	924106	29022	
22760939	973256	26113	
23053220	926482	28526	
22524066	731482	28075	
21865277	841912	28417	
24219863	792425	24923	
21321122	851946	27575	
22613518	863702	26749	
21773544	918285	25977	
22512209	857091	24372	
22490616	836191	26646	
27097787	873932	27895	
23714363	848922	27977	
22875472	869193	25723	
23364232	837602	29757	
24297334	753779	26128	
22750833	926946	27743	
23386585	891424	28754	
23126141	886248	24570	
22126006	835207	36378	
22699040	879628	29519	
23309636	859620	26285	
24963246	791328	29422	
21762621	822921	23768	
23016342	846308	31104	
22460234	926801	29485	
25066298	791545	28722	
22244419	862934	29465	
22817642	765891	28688	
22833051	764682	27616	
23172534	928880	30984	
52946810	929291	31465	
25445617	977522	31898	
24364190	771704	39774	
37581919	856988	31561	
47834823	1008581	31416	
35032022	836493	30070	
33974112	883960	38719	
35942822	815861	30637	
34550817	909786	31367	
38880961	1035042	30845	
23039682	884845	30140	
24106719	829780	29596	
27209464	910954	26562	
23414309	811920	29461	
21564805	804206	25770	
22125544	827543	21788	
21569812	772764	29396	
20929777	709895	24097	
21250833	796650	26236	
21074590	856986	23456	
20836778	826200	26397	
21254589	919474	27814	
21940346	850649	53546	
22243704	838258	29954	
22331376	893268	27965	
21599963	874493	24427	
23503102	831047	31733	
24565254	806645	30214	
21803421	897989	24429	
21712020	693643	27136	
23303133	884885	25640	
22146478	709429	31846	
23485681	756040	31088	
21816389	821855	31031	
23479730	804963	30734	
21959169	1010125	26951	
21039801	875010	29945	
21152914	846454	30254	
21255481	870181	25260	
22502095	794207	29846	
21768122	828463	24606	
21984046	835610	30523	
24397135	1020982	26071	
22186285	683103	29631	
21897891	808856	28100	
21949609	891684	32605	
21264670	805746	31935	
21958700	828329	26672	
20638575	709664	23886	
21163527	842183	28841	
20800375	811464	29592	
25110324	869281	31293	
25952095	917591	31443	
22773594	751692	28871	
21241793	782791	23523	
21993335	709693	22754	
24153397	891618	22466	
23775483	841105	30451	
