Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v2/mtpt/zzzTemp.txt : len : 1000 loops : 1000
WRITE	FSYNC	READ
943093	825013	986993	
891089	873044	1749	
807471	830230	1824	
833753	863633	1986	
994377	808008	1598	
1075247	885645	1858	
1013660	1294158	1804	
975855	879439	1751	
1007185	1003393	1888	
1002125	957457	1789	
983108	950442	1625	
956148	834511	1720	
984711	859735	1814	
963177	888699	1658	
904184	882659	1780	
1073266	945276	1564	
908114	833467	1386	
892636	930985	1353	
828049	872390	1801	
852264	834803	1745	
839330	928106	1791	
801460	709515	1695	
848593	840762	1584	
894465	761964	1741	
958469	787897	1869	
775959	714257	1764	
849103	781290	1648	
851727	952122	1323	
948903	787521	1721	
789941	818788	2012	
869604	806069	1817	
910463	866739	1668	
1023300	877857	1798	
896585	791882	1820	
929436	884873	1959	
880962	818498	1828	
865362	1016483	1765	
1003417	868872	1760	
857820	811064	1763	
940355	788861	1964	
1005473	870888	1880	
842893	936105	1973	
808258	946185	1595	
953292	870147	1834	
853463	869630	1814	
891024	968778	1797	
890279	764721	1686	
873677	884930	2097	
900579	822013	1777	
886630	757041	1878	
822100	896608	1935	
847999	865123	1977	
878573	905442	1826	
961187	843764	1722	
1082255	847859	1748	
812362	850382	1831	
878475	854853	1523	
844649	916546	1486	
896997	905830	2015	
905672	2846589	1948	
990429	813669	1783	
935512	777427	1736	
964803	2033069	1814	
862757	823231	1691	
891860	832960	1709	
1097457	817081	1665	
961983	922608	1791	
783885	808819	1825	
893407	769252	1780	
980567	828898	1799	
874019	1003633	1526	
888939	956526	1623	
909667	854782	1583	
933622	863213	1507	
921614	807119	1594	
823686	948338	1409	
1176767	916810	1722	
958110	838133	1767	
1018233	839794	1636	
833655	903713	1803	
902019	795724	2064	
923796	1040001	1600	
840831	856846	1722	
835792	781345	1821	
840819	751177	1871	
900099	768786	1811	
1005184	861211	1803	
874714	735714	1813	
870160	848228	1557	
819739	947432	1689	
995801	842661	2126	
932965	891528	1728	
823291	814175	1774	
793095	757681	1760	
899542	808271	1653	
884005	715306	1799	
746318	1184526	2003	
924071	800580	1603	
851978	985296	1495	
887647	838344	1746	
876022	890560	1879	
818926	870237	1792	
950074	862424	1853	
788897	969076	1741	
868984	944406	1745	
888346	793823	1617	
748199	846251	1701	
861237	876842	1717	
967441	888379	1894	
921366	880497	1749	
903990	764743	1551	
893222	732695	1629	
844217	748133	1715	
1025329	827649	1509	
911940	939389	1841	
774211	954645	1617	
821179	858164	1861	
817043	793446	1869	
896970	871120	1692	
836697	882614	1486	
940026	898252	1501	
858060	929102	1770	
891611	1024448	1943	
960387	895406	1512	
716693	745859	1709	
1490025	775956	1889	
888729	760517	1752	
849605	927721	1820	
886272	1092814	1983	
903715	828968	1749	
824643	729972	1746	
967081	852357	1839	
903786	837360	1706	
908440	877662	1837	
888467	910670	1897	
963887	996781	1851	
965744	865779	1868	
943789	853609	1837	
905856	967989	1752	
998879	905452	2013	
966485	840263	1319	
842093	973488	1669	
819572	836291	1753	
830456	927467	1813	
796921	747190	1842	
906475	772923	1886	
893483	869660	1852	
1085482	829639	1759	
844179	788091	1819	
2426327	890412	2105	
971571	833663	1906	
972578	912440	1767	
1033733	979817	1898	
875653	862047	1873	
932426	831598	1843	
828589	866229	2020	
998743	870693	1620	
932723	914317	1695	
903927	1028736	1839	
937276	927389	1966	
934233	822202	1720	
848688	895089	1866	
856435	1151028	1386	
944466	883743	1680	
874817	765325	1778	
925006	992923	1423	
885084	1089091	1390	
854808	878811	1798	
807005	935769	1750	
881313	1115559	1694	
975887	1041950	1739	
1149853	978627	1864	
911588	901880	1728	
1045869	999953	1842	
829833	1119041	1877	
948485	908456	1788	
883011	876300	1592	
894861	1058078	1791	
1079993	1033394	1362	
1052894	821091	1668	
1002823	847432	1588	
884533	857212	1741	
874765	798411	1772	
901534	864912	1899	
951907	864603	1798	
850897	836315	1866	
973185	920457	1766	
824337	848783	1420	
852627	959116	1354	
870507	815431	1754	
945141	819767	1779	
836180	799076	1752	
774622	983413	1806	
853702	786606	1446	
892050	915612	1765	
857514	1054222	1680	
944447	814917	1664	
848458	813807	1759	
1609300	1006327	1681	
862917	864387	1932	
763826	908263	1626	
776354	727366	1705	
825949	764193	1800	
786896	765165	1890	
866102	835325	1880	
926983	968065	1709	
801624	767788	1730	
783076	888283	1640	
760494	650274	1796	
782850	696402	1812	
816485	855697	1738	
875640	845534	1680	
796160	930430	1710	
797408	812372	1426	
999557	828625	1618	
807523	773240	1702	
873348	821966	1462	
846027	741820	1635	
798592	808840	1746	
834564	779314	1581	
836260	734072	1768	
786742	851863	1743	
954116	849321	1880	
932448	855834	1787	
984062	853813	1833	
782565	835848	1459	
1035091	905286	1638	
873859	972645	1372	
1016576	735884	1645	
875624	845649	1701	
969288	996709	1850	
923286	854346	1989	
831900	685517	1785	
838328	867301	1914	
1011759	845370	1835	
878754	840340	1784	
977690	871506	1850	
1074492	879216	1656	
756199	868396	1735	
1037882	969993	1591	
827957	818051	1663	
793591	782165	1735	
818904	769368	1739	
810568	764974	1714	
887830	887890	1798	
