1080695	299254	291850	
697828	194117	2399	
705109	251643	2512	
661287	190689	2494	
567748	306754	2483	
718590	219640	2474	
805229	217941	2476	
603465	177022	2343	
684813	220606	2430	
612934	215133	2335	
659685	208868	2268	
801397	207955	2318	
699019	230527	2380	
700520	273596	2560	
689678	202569	2447	
643313	191217	2422	
689986	185415	3935	
698867	196787	2404	
679346	205965	2352	
643263	188363	2451	
874433	328679	2766	
702505	210434	2411	
709159	195345	2338	
641364	214494	2258	
833089	188576	2296	
701979	194264	2585	
879552	211162	2577	
803766	218744	2589	
694340	184432	2526	
794031	297900	2126	
787829	231028	2440	
2280919	247740	2082	
1062532	239530	2527	
817278	240972	2487	
875242	214320	2380	
737077	214196	2308	
780848	262633	2585	
616041	240630	2379	
703719	251641	2312	
754740	227774	2340	
751729	235340	2235	
3616909	253858	2460	
692206	242609	2524	
729460	194391	2442	
747569	198165	2472	
832595	196616	2301	
728724	206440	2521	
908440	207774	2398	
680993	192857	2309	
939499	237840	2507	
660285	238600	2490	
696367	196851	2261	
716495	214961	2329	
670618	207822	2349	
709022	196526	2298	
689177	208946	2285	
646072	232889	2362	
1006318	347939	2500	
851891	190078	2359	
858015	214568	2345	
745211	235700	2364	
703723	192465	2449	
897748	218997	2467	
702079	245273	2376	
756274	232150	2434	
629704	178432	2378	
586936	209840	2302	
644384	230083	2778	
778508	265812	2853	
728367	220653	2391	
642418	178737	2191	
621320	206588	2489	
611501	199986	2202	
630005	185379	2247	
783794	306578	2798	
793019	192640	2500	
770527	210095	2332	
688964	186617	2333	
1126994	259448	2712	
659763	195701	2401	
726839	203628	2428	
756966	197342	2412	
868810	224346	2584	
777034	301437	2686	
915326	250061	2396	
685842	201009	2294	
855967	283624	2528	
624455	227944	2508	
748795	205003	2470	
626679	247288	2600	
632980	231550	2397	
690490	198662	2290	
756061	237656	2426	
777859	236564	2352	
730824	197594	2347	
657767	192758	2420	
808419	209245	2472	
932145	261825	2429	
818031	217628	2467	
658567	271702	2700	
2331813	254804	2498	
728981	235456	2492	
757491	326002	2716	
696778	219344	2322	
858509	227073	2475	
879356	275708	2583	
728992	187323	2439	
734087	214403	2405	
656553	212213	2509	
820442	288709	2628	
663310	194389	2311	
646169	192892	2369	
646154	196372	2377	
699743	222553	2459	
783710	196196	2294	
1201315	230108	2549	
751351	212700	2257	
788813	223490	2287	
594937	203657	2397	
723625	242618	2367	
840060	233428	2569	
708371	276369	2449	
779087	213674	2358	
714869	278337	2542	
721354	233587	2392	
667409	204323	2288	
766179	219800	1902	
733320	292727	2527	
683209	242946	2480	
663981	211504	2671	
608818	218140	2392	
826178	211799	2292	
828892	225911	2213	
690221	183226	2436	
671399	202337	2322	
716226	205105	2266	
759874	215291	2514	
686647	197248	2390	
691393	222466	2352	
642722	220903	2337	
692141	289118	2535	
765923	201873	2562	
985729	296653	2135	
934269	216366	2767	
