7504362	900850	2743430	6476	52822	1882154	
3449590	954912	2907804	7071	10246	1807406	
3442782	1004868	2677366	5754	6960	1829767	
3732468	974899	2618046	6329	9851	1728875	
3379487	872145	2644815	4005	7632	1572586	
6125905	960090	2652578	3849	7706	1683463	
3168396	928064	2847723	5828	10215	1822877	
3341215	988199	2873962	4225	7870	1926153	
3579998	802286	2320486	3722	6900	2032603	
3592514	899317	2710173	3997	44718	1612054	
6265893	1070560	2597198	6169	6568	1799491	
3800038	1007562	3199878	4566	8107	1698722	
3342905	902431	2724805	4920	7881	2013339	
3422832	908420	2742276	7002	8188	1725033	
3569020	948029	2630605	3963	10454	1824388	
6353202	1006193	2587476	5116	9406	1859184	
3904538	978189	2619314	3987	58521	1659276	
3711528	1019808	2790091	5040	47516	1711721	
3502868	985025	3205359	6687	8647	1902091	
3358523	963127	2757344	4016	12953	1675449	
5915018	927532	2452722	4263	11994	1693190	
3448375	959957	2779991	3949	11411	1726839	
3260071	1027079	2616688	5150	8846	1725262	
3987771	975765	2716819	4280	9579	1934017	
6197292	939393	2784858	4761	8418	1870487	
7086203	938016	2512354	8170	9384	1731653	
3528157	958687	2464331	3911	10597	1880914	
3793732	973514	2902222	4638	7800	1812422	
3591295	847864	2809125	3338	7145	1562010	
3539439	907861	2710328	4393	8022	1571925	
11848318	954259	2564482	7264	6869	1656073	
3549101	1020194	2596868	4446	10108	1722158	
3736643	914023	2505043	4192	8249	2139468	
3653441	1066100	2643503	3960	7482	1707481	
3745501	913516	2836124	3689	8936	1630251	
22002298	1036135	2660679	3751	9968	1928490	
3801951	1197977	2571699	4456	8686	3554567	
6370370	951381	2411713	5531	15249	1691531	
4589056	1112185	2907476	4594	15198	1777994	
3246430	926468	2720679	3995	9811	1713240	
7240239	790763	2438616	6206	8885	1686693	
3606086	928659	2701921	7205	8878	1849589	
3773157	958140	2734565	4122	9155	1788453	
3594981	886330	2951571	4458	12125	1776119	
3445938	1091043	2733884	3608	7229	1633723	
6216808	918339	2282115	5762	13877	1724207	
3291718	859197	2743852	5933	8372	1786222	
3606398	986694	2593368	3394	7702	1625905	
3518328	865489	2691393	4189	23567	1656080	
3622387	952434	2606257	4057	15597	1772328	
6316103	1252901	2636673	3783	8724	1875419	
3896574	989922	2935658	4350	8949	1894284	
3610463	881019	2705663	4317	8145	1964812	
3526456	887174	2529597	3607	6856	1673268	
6981493	921060	2702332	6204	9300	1695409	
6489107	1082831	2717531	4874	8480	1718686	
3523685	1046406	2610411	4397	8199	1653906	
3769343	983109	2839808	4772	9295	1694614	
3337193	944542	2590688	4492	11358	1521523	
3906055	939144	2664106	3974	7224	1540153	
6218357	916556	2584082	5120	8558	1723342	
3448696	904159	2843288	4194	9975	1766474	
3458516	943263	2359117	4494	38738	1747206	
3373792	939721	2478084	4151	7532	1754565	
3175686	939678	2581434	3809	7248	1629065	
5718203	898711	2710798	4977	8259	1778437	
3452680	1008926	2448474	3704	8162	1700125	
3494043	952944	2787762	4286	6820	1620303	
3195756	951949	2523036	6038	17200	1672267	
3692581	900931	2473410	3807	33323	1749206	
6473394	894885	2599110	4162	14350	1646452	
3860236	970324	2474365	7780	9480	1672354	
3477856	915859	2688988	3415	8646	1805241	
3689678	986293	3548557	4050	8883	1803485	
3382435	893351	2710670	3621	8907	1695336	
6543567	977417	2384392	6042	8796	1733884	
3485833	933919	2474145	4365	9443	1931213	
3616887	885726	2594157	4457	9967	1783945	
3459721	1486748	2847063	4683	8384	1625795	
3993350	876172	2567025	3504	8837	1737504	
17140085	901711	2619589	3872	9960	1871350	
3246228	962389	2827529	3583	9258	1653449	
3503325	848565	2787635	4653	8658	1811598	
3572550	975153	2793722	4132	8339	1884462	
6366456	1068239	2451261	3832	7774	1741960	
6437043	891801	2808082	4078	7260	1595910	
3363826	941517	2703901	6593	8465	1621761	
3268761	788822	2661915	7624	8900	1655628	
3703035	948567	2597342	3920	8640	1576671	
3209595	874394	2402045	3429	10577	1698835	
6116877	1029299	2639437	3840	7980	1475004	
3583885	870973	2567889	3828	8200	1463052	
3805101	862406	2309981	5837	10073	1931057	
3699580	1081885	2808267	4748	33837	1740644	
3486876	863061	2690565	3716	9762	1789024	
5874200	965328	2334333	3960	7315	1697711	
3613837	924709	2489639	4552	26915	1640603	
3672801	1023342	2631832	3795	12811	1609703	
3505262	927129	2629311	6420	7868	1657629	
3670889	983251	2717400	3510	11282	1584564	
5612239	926000	2502491	5460	19017	1627261	
3189757	1059500	2440311	4461	7804	1735839	
3388284	785663	2871698	4490	9539	1743918	
3697117	923204	2830388	6300	7497	1781355	
3538541	973511	2643308	3905	7956	1705649	
6459069	891760	2434095	3849	8666	1671334	
3725038	936529	2388547	3856	9320	1706859	
5292338	988379	2442726	3546	8527	1702657	
3596244	992248	2610813	5105	8782	1688954	
3781384	875916	2699471	5031	8957	1915595	
6741003	1006794	2439357	5483	8694	1876287	
3654881	973801	2716702	4102	28131	1755537	
3695150	992646	2690073	3716	9936	1709628	
3676265	966446	2838640	6527	8226	1582016	
6871189	985379	2602964	5785	7672	1693964	
7210107	919283	2418079	3509	8544	1767676	
3438608	898291	2542431	4716	8760	1656009	
3507680	859184	2591506	3582	9442	1757759	
5441566	1140077	2599288	6837	12738	1791452	
3557570	1024486	2571521	4364	7446	1635777	
6501875	854027	2558413	4421	7682	1813224	
3483793	973888	2432704	4021	8954	3389407	
3621803	1009456	2693819	3493	7739	1621214	
3477004	989737	3561831	3803	37186	1821232	
3394750	836318	2367097	3763	8431	2741997	
6205247	946947	2271553	3387	6702	1534539	
3563691	893475	2489958	3484	8198	1707984	
3600377	821343	2400109	4046	7213	1742994	
3383373	858939	2371801	3771	38037	1714571	
3423603	886794	2608373	3957	7278	1893524	
6305725	839540	3171012	4318	10621	1535023	
3380332	912767	2461177	3593	12633	1683565	
3772883	948591	2615710	3583	6898	1669528	
4153231	1112994	2526253	5989	7271	1700159	
3254180	858833	2366963	3552	8280	1629410	
6171320	900588	2694709	4245	7150	2035679	
3687383	900811	2429355	3564	10652	1774964	
3417879	1024272	2662644	3851	7332	1765232	
3834295	1007972	2724236	5491	42740	1743748	
4010666	949814	2371458	3829	9180	1845191	
5767951	879134	2623305	3897	7176	1541217	
3830496	861414	2344117	4164	18749	1676723	
3484423	835241	2757621	6590	24673	1614272	
3385744	1012520	2579120	4588	8333	1659810	
6515143	904210	2453162	3654	8285	1752925	
6664908	883844	2765965	3660	10043	1548497	
3450590	920497	2596000	4440	7786	1593902	
3256128	818610	2732317	6751	7675	1647551	
3535659	828098	2633479	4053	27933	1812119	
3372641	819551	2331952	5811	9066	1524409	
6086467	866716	2670658	6991	19522	1793843	
3420669	859604	2695291	6752	8960	1669897	
3496319	836425	2765134	4188	10782	1643653	
3255886	1008383	2458841	3619	8832	1629463	
3363460	902488	2257899	4695	7300	1831627	
6453684	1034222	2648269	3717	31170	1735476	
4178266	951539	2339699	4455	7497	1561987	
3535896	820004	2371437	3594	9697	1804482	
3187815	794150	2455031	4320	14233	1660702	
3212526	878942	2459724	6172	8688	1517249	
9118155	864689	2879929	4341	9462	1703221	
3316774	963274	2440260	4091	8811	1544764	
3355567	881635	2249167	4087	7440	1835699	
3389848	854628	2249426	3890	9595	1459125	
3085563	941388	2396722	3799	8874	1747907	
6268275	840262	2756445	6927	8726	1861168	
3202368	840794	2428043	4204	9522	1586468	
3457114	819613	2502614	3647	12587	1808497	
3311416	1050946	3380519	4042	10909	1838177	
3387907	795226	2451475	4009	6437	1659158	
5821258	925549	2551074	3700	7421	1456288	
3468760	883268	2537690	5693	8801	1897994	
3052085	1229107	2610101	5960	10825	1915015	
3449824	913166	2513702	3367	7480	1827672	
6195504	802858	2557566	3674	8200	1610760	
5707914	829250	2557944	3932	7782	1694990	
3479284	993468	2752959	6171	10363	1725649	
3578678	950414	2580284	6989	8472	1703932	
3064120	1115868	2726708	6910	9478	1873041	
3725673	999135	2626834	3825	7917	1661171	
5972877	910309	2562801	3617	9280	1545979	
3690357	763686	2532064	4133	13883	1736665	
3404334	782472	2485999	6839	8600	1783928	
3272156	1176221	2584255	4271	17287	1716241	
3699413	885050	2609190	3739	7144	1710524	
5815258	1079059	2607820	4769	8902	1645354	
3354838	885684	2550609	4018	8513	1699200	
3583783	983678	2508682	6342	7868	1820840	
3277505	859033	2394198	3874	8765	1585705	
3560262	871043	2643735	4466	7493	1885633	
6276488	872960	2329269	3379	8074	1564662	
3349138	986403	2474876	3563	8009	1563143	
