524577	82507	170569	2794	22295	148769	
307858	85335	166194	2080	4849	122020	
171317	67204	342459	2734	5013	116447	
184755	70601	156880	1754	4760	108588	
215571	68766	164414	1912	6266	120220	
177682	66292	154961	1640	4646	111738	
184668	76769	234232	1949	4548	108790	
280136	77505	167882	1933	4680	114354	
185876	69380	176320	1883	4655	110538	
179212	67531	154719	1688	4658	133730	
216814	69225	154757	1845	4581	107404	
167303	64985	155829	1752	4783	110195	
174313	68935	301560	1761	35280	240875	
235993	73419	166503	2231	5376	116124	
170183	67804	148992	1743	4625	115422	
199942	72534	241574	1720	4752	119566	
180754	70009	235118	2952	5230	111298	
220063	81694	216051	2041	4716	115117	
166469	65652	153049	1601	4425	181802	
194292	72558	172879	1882	9031	130356	
172042	66950	155792	1688	4679	108866	
175163	69534	154508	1778	4803	106665	
193144	69212	155069	1760	5054	122213	
171310	66868	160493	1732	4681	120692	
189234	66775	152477	1865	4643	186818	
183105	75879	155218	1849	6141	117486	
178525	67740	164554	2229	4774	111375	
186618	70186	154060	1911	4725	105233	
256303	78691	159017	1769	4688	108580	
174329	67618	154508	1770	4900	128091	
174546	67334	150925	1749	4508	112069	
177865	109258	166060	1700	4590	119357	
181786	69506	156037	1829	5040	153957	
173969	78701	232059	1812	4592	114011	
205420	70594	155098	1876	5031	110407	
196708	89578	164591	1940	4671	184415	
237826	72548	211523	1972	5102	113877	
253407	79657	160146	1994	4878	117355	
227835	80840	201504	1937	4931	129549	
214155	74852	160317	1857	4880	113154	
181249	68678	165088	1878	4800	116122	
211789	89329	199151	3288	7211	168192	
265622	85552	264391	1915	5966	119247	
179046	69916	189462	1871	5010	113011	
176460	68204	159583	1878	6411	138044	
320054	73861	165616	2017	4803	116188	
185773	73125	157770	1815	4857	119340	
184974	75001	239468	1876	4520	163397	
266092	76405	162330	1795	4657	103648	
174240	68023	217926	3063	5068	117931	
216542	84889	174987	1862	5489	120477	
185209	69160	191335	1811	5861	231373	
189320	72006	157034	1815	4965	115024	
191829	98748	163800	1798	4591	126305	
175736	70112	166984	1772	4712	126280	
180068	72031	153541	1618	4554	109212	
196607	74364	163360	1917	5412	155246	
183349	70478	153949	1806	4594	113582	
244953	73380	161286	1753	4797	101347	
176272	71859	161192	2115	4709	107920	
179536	69511	185935	1945	4733	107787	
173657	87060	216303	2244	4782	113040	
177723	70229	170984	2048	5510	118514	
177388	69962	152768	1677	4640	118898	
204151	70114	155966	1852	4926	105088	
283866	73846	160905	1603	4639	117832	
181700	70684	160173	1811	4799	107369	
172190	68903	158479	1650	4633	128565	
185174	70698	201587	2739	5038	111868	
173338	101786	166889	1625	4535	140484	
197815	69566	152131	1744	4883	135700	
188557	69209	212445	2451	4764	122057	
185631	67912	150308	1737	4810	112023	
171197	72789	166119	1768	4660	106571	
182760	66788	148995	1617	4980	116172	
174158	65224	150707	1918	4511	106334	
186617	77323	155951	1654	4624	106236	
225741	99898	185114	1869	4554	114787	
177353	68732	159266	1953	4694	166382	
238160	84892	154781	1826	6704	122652	
215043	88111	160669	1787	4872	102050	
169088	66160	181589	1791	4635	114943	
170021	67224	149269	1814	4783	115298	
173640	66769	164480	3020	4806	112966	
186401	78326	161131	1698	4653	113102	
169403	65222	159958	2928	5000	99436	
169777	66685	148240	1636	4517	105359	
243372	127678	210412	1603	4589	112388	
321732	130283	240993	2730	5059	121562	
263856	114923	179038	1959	4598	115157	
259300	82737	222638	2082	5051	136703	
226931	104084	188740	2296	4805	147312	
223971	113366	237463	3728	4812	121424	
185213	67476	152475	1808	4946	110268	
276542	102345	196846	2004	4784	198961	
219207	70697	153248	1705	4818	114292	
173934	68070	158075	1786	6485	107967	
169727	65399	170356	1901	4538	106143	
176496	76788	153289	1735	4716	107252	
168977	66094	153478	1745	4427	106896	
217961	73777	238630	1779	4911	108650	
176732	68249	152348	1845	4580	152046	
233683	86280	156929	1740	4541	117124	
272239	81503	177732	1812	4622	118572	
187801	71774	156539	1844	7496	113628	
189313	162921	258652	2027	4832	122734	
173280	67877	153611	1669	4764	135322	
172953	66837	241037	2800	4873	136758	
204734	79176	246358	1893	7095	136729	
215007	77660	156048	1601	4725	106789	
192087	80224	191269	1970	4927	115463	
170968	68151	187932	1635	4571	111180	
194908	79126	155357	1672	4714	107306	
173722	80266	163731	1714	4711	118308	
179731	78680	158821	1795	4869	114195	
241880	128865	166312	1877	6924	120968	
214467	68255	153201	1800	4855	113995	
249260	82482	174370	2049	4608	156886	
175718	70020	157367	1732	4534	135511	
188618	69172	152417	1731	4917	150476	
192022	141922	330897	2679	5279	112471	
245327	77724	228026	2014	4800	118348	
257873	96114	188805	2319	5675	219186	
