Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTemp.txt : len : 10 loops : 1000
WRITE	FSYNC	READ
183841	185884	257839	
157980	181394	1423	
175660	203942	1413	
207631	201603	1427	
131562	140123	1206	
153837	195515	1506	
129639	165942	1177	
125888	140501	1222	
145762	150572	1184	
148665	238724	1479	
528636	235349	1712	
225722	216286	1523	
203351	192183	1528	
189709	219450	1538	
236986	203048	1469	
179500	185110	1660	
213526	157977	1329	
146303	151089	1227	
170826	148239	1486	
166066	166735	1240	
148810	157142	1165	
138632	148428	1190	
127613	146706	1153	
186023	161360	1251	
230441	167178	1308	
192294	154859	1531	
150171	204333	1368	
138073	147687	1180	
162826	199442	1394	
243534	190015	1311	
217001	174670	1334	
164081	168500	1461	
176483	158624	1324	
143107	157682	1140	
126953	230620	1552	
204897	165243	1603	
196099	171000	1277	
160318	153903	1301	
132980	146077	1480	
190111	196802	1545	
180924	156674	1529	
179299	284951	1180	
229166	181020	1336	
159192	182410	1460	
221812	294247	1428	
204382	176969	1689	
204397	165368	1312	
198377	151800	1320	
316427	191799	1446	
183796	178811	1415	
164408	152029	1226	
140766	158783	1554	
139755	163875	1288	
165454	172436	1164	
200864	138459	1209	
131100	148292	1160	
196960	146541	1641	
145635	178016	1285	
148972	197408	1270	
170022	138606	1688	
147748	138694	2077	
136881	170247	1471	
134889	141895	1129	
193288	167967	1052	
188656	164248	1060	
153088	138048	1068	
159777	142189	1097	
135247	147544	1062	
148300	154802	1035	
182978	180506	1098	
158205	179787	1146	
145934	133382	1118	
202995	200242	1110	
148066	245802	1282	
203779	192425	1261	
281067	189649	1334	
234827	254837	1560	
164426	220617	1507	
197309	252040	1294	
205720	243030	1308	
215800	286653	1139	
325943	220173	1472	
188296	203151	1295	
171585	265217	1377	
213742	190394	1294	
150538	162510	1296	
187126	165061	1204	
171912	249638	1623	
173903	184746	1280	
231645	198321	1407	
206546	175894	1370	
188506	181100	1292	
161486	161638	1246	
137386	151109	1212	
209034	231698	1308	
176064	168132	1282	
210201	170246	1336	
212242	142878	1214	
190320	235203	1628	
180224	179769	1267	
214751	223699	1479	
205818	188882	1270	
172999	164382	1228	
172173	166148	1433	
137480	258719	1243	
154205	161664	1298	
179949	203702	1314	
306268	205396	1356	
228232	183547	1398	
183420	178549	1416	
210005	179113	1498	
172044	153645	1229	
150026	162018	1250	
136282	141142	1212	
157731	146886	1171	
135248	171747	1406	
162807	168346	1431	
171016	141959	1572	
203140	140718	1249	
134173	130359	1164	
135494	160181	1195	
180712	154505	1144	
167139	161729	1217	
160440	185997	1284	
143026	129952	1191	
139474	142641	1172	
149096	176242	1195	
211912	169362	1219	
178827	166863	1201	
161618	158738	1205	
137748	130730	1170	
131007	183051	1140	
156280	156261	1177	
158524	168720	1236	
183610	168545	1202	
152338	330120	1116	
185535	194074	1305	
159080	191653	1287	
150983	140404	1169	
147703	188750	1565	
147672	148035	1254	
165511	157503	1290	
157789	162896	1192	
132171	134208	1179	
150746	166473	1187	
186068	158782	1237	
187697	188802	1171	
183834	194656	1180	
168572	158112	1174	
192911	156365	1249	
140571	132850	1133	
151239	135914	1156	
134862	149259	1158	
162234	134830	1172	
147947	185756	1230	
185014	251494	1401	
150789	160381	1300	
215329	160300	1283	
167474	155729	1257	
150130	146246	8315	
141645	152134	1196	
193138	156227	1191	
178599	152262	1486	
138728	161480	1233	
192760	343773	1108	
192972	205619	1364	
197020	222083	1325	
220626	193462	1490	
245676	201624	1316	
181076	163441	1314	
189304	158775	1289	
150842	139703	1176	
160714	143549	1192	
213744	181462	1227	
182115	146540	1241	
159304	177930	1200	
141683	156464	1549	
153196	157687	1228	
179900	170939	1243	
151868	173044	1269	
149305	180382	1231	
157860	146844	1207	
137562	145811	1163	
179562	239227	1189	
159866	211972	1350	
192048	172273	1294	
170337	206206	1309	
193159	199974	1223	
166783	156257	1221	
167740	154092	1245	
187270	193247	1320	
140362	179770	1225	
196546	211600	1225	
184040	195278	1222	
151396	164982	1198	
178928	142620	1167	
148942	149251	1221	
156305	134280	1144	
135020	149709	1535	
170457	170277	1140	
139520	143980	1145	
140139	135306	1170	
170047	144481	1183	
170752	174689	1218	
130838	202386	1223	
142168	147406	1109	
201442	165030	1178	
155437	154149	1202	
135137	137671	1166	
131989	171480	1173	
172198	150432	1212	
164893	310839	1315	
214536	245174	1526	
205682	197887	1368	
165649	148233	1355	
174613	170706	1268	
278571	221909	1374	
197004	228420	1397	
246807	319568	1178	
194984	188027	1272	
172076	185663	1302	
208992	163560	1261	
206240	167748	6067	
140611	167268	1262	
184916	151039	1146	
157268	148177	1165	
192543	148924	1220	
150325	193840	1174	
147439	153568	1165	
134647	187005	1172	
182133	152255	1138	
155332	157874	1167	
252245	165843	1359	
148232	283972	1135	
254656	191453	1620	
249887	236463	1605	
233621	272655	1505	
209592	221175	1638	
217623	175873	1293	
243651	188844	1279	
163842	152228	1294	
155358	214542	1312	
323220	211316	1206	
191842	199785	1707	
216310	159399	1349	
280515	173095	1368	
176199	161519	1275	
157825	285913	1276	
219910	205515	1451	
210671	211955	1275	
186081	176220	1337	
148649	151119	1179	
210350	186499	1593	
184307	261838	1426	
198388	182564	1355	
228136	270163	1500	
200127	212928	1252	
195331	211762	1243	
180584	208347	1448	
173561	159885	1235	
137804	136565	1213	
149159	162094	1215	
170095	178014	1388	
166338	234968	1316	
165830	191193	1278	
166022	197974	1254	
186052	222679	1307	
165588	164088	1291	
181845	150426	1354	
410528	247091	1316	
266108	298502	1531	
205244	176013	1319	
215699	157517	1293	
172618	175638	1206	
154479	142980	1174	
140917	127980	1175	
158222	173582	1196	
156954	337556	1330	
166712	178637	1239	
184274	198426	1320	
267987	194766	1416	
282445	211043	1456	
190665	182764	1592	
179754	182557	1469	
197282	181687	1504	
166211	163619	1504	
301794	184628	1537	
256223	176286	1407	
181640	174931	1235	
154960	200819	1377	
195555	172484	1310	
152829	268697	1316	
303674	200363	1510	
174179	243680	1347	
204202	165861	1408	
151353	194370	1650	
167118	142572	1256	
158033	197501	1253	
153154	186169	1161	
155460	143778	1193	
147346	176242	1190	
192209	153811	1173	
140592	202882	1167	
159583	137763	1230	
168471	161062	1222	
175301	197581	1178	
217516	203268	1560	
163847	137458	1167	
136577	150437	1162	
170937	146397	1136	
163230	173007	1160	
142137	141798	1220	
129953	143786	1218	
149491	191965	1186	
187552	160544	1397	
157557	142854	1280	
156813	181920	1135	
143903	197849	1138	
153751	176908	1172	
169056	161060	1189	
184407	149794	1073	
257440	187657	1336	
153815	287271	1138	
271749	209252	1354	
195667	198612	1467	
217617	163913	1300	
176648	241395	1278	
168161	160206	1241	
167713	177694	1290	
157230	140728	1257	
149105	161744	1562	
180520	150702	1313	
148584	147746	1207	
142802	196680	1250	
232268	215441	1273	
174028	268900	1318	
182660	162675	1378	
164118	186300	1342	
194298	204991	1325	
177449	219676	1315	
204073	191556	1740	
161568	152409	1547	
252828	245242	1530	
195034	173201	1422	
175585	177606	1240	
166316	217206	1446	
170410	179214	1347	
181174	163960	1155	
143077	211825	1194	
177727	181644	1193	
156090	180802	1424	
170203	190020	1254	
196292	149524	1197	
244458	195889	1383	
149175	179097	1336	
147631	165557	1274	
148594	166695	1262	
133776	137006	1083	
132660	147887	1058	
168113	234856	1533	
158603	208443	1360	
171130	150312	1301	
158362	146696	1124	
179940	193349	1443	
150669	154089	1074	
156088	164612	1222	
147144	157040	1164	
162163	161711	1100	
264176	196758	1617	
157156	194220	1223	
162531	178002	1269	
201711	285922	1157	
244986	176563	1315	
221029	235262	1497	
204457	190533	1248	
179308	220168	1288	
185607	206084	1342	
152754	176129	1469	
187386	185251	1289	
172472	140857	1214	
172880	166215	1212	
166374	148753	1185	
159495	151346	1188	
140558	139784	1213	
171690	153801	1163	
153084	171918	1210	
175348	197297	1228	
135233	181596	1132	
189777	247906	1311	
202389	492167	1163	
208710	216940	1373	
174998	185061	1296	
168636	160782	1242	
154609	215940	1296	
158583	173030	1566	
144764	141980	1180	
145117	162044	1194	
170564	217326	1620	
170371	167688	1239	
154343	162329	1177	
150574	233617	1286	
202888	166807	1400	
170419	171701	1328	
160945	202191	1339	
157404	223324	1453	
211633	190384	1380	
200232	162578	1352	
160415	142940	1195	
223575	188873	1265	
168752	204098	1284	
208435	184003	1297	
193874	171158	1326	
150141	206593	1245	
134851	168110	1214	
261832	193289	1268	
179454	189155	1270	
183325	162369	1272	
153455	143938	1222	
159779	135065	1196	
190887	167598	1479	
