Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTemp.txt : len : 100000 loops : 1000
WRITE	FSYNC	READ
6363721	377860	346939	
5796511	331151	14819	
6186996	405443	18528	
6857591	421445	14007	
5777192	417685	13695	
7192925	397150	11859	
6659584	440565	18964	
6927233	369097	23036	
6106034	330266	21751	
6660305	343279	17759	
6251097	333722	14931	
8058212	341883	15100	
6698401	358689	13075	
7170504	310081	13204	
6425677	320549	15654	
7271309	391095	18985	
6315064	375262	12750	
6407828	306262	14565	
6828485	451371	15377	
6476035	333675	14329	
6243130	360782	16835	
6898138	320715	13111	
6342671	300309	12561	
6124937	431108	12757	
6296943	317730	13323	
5822895	368641	21972	
5814468	322297	14735	
5294481	341456	13339	
6023772	363204	12787	
6558388	322911	14862	
8195706	360754	18067	
7163104	313054	17663	
6102263	355628	16468	
5972366	328438	16724	
5811383	361835	17181	
6186532	296871	14065	
5712174	345805	14555	
6489592	239165	16627	
7406987	308408	16344	
5981044	268232	14919	
7422591	368569	26946	
5973160	323375	14728	
7114379	323072	13478	
6493746	369720	12844	
6067307	346273	13317	
6310243	370735	12747	
6061160	323595	12780	
6689985	363723	12970	
6740570	264042	14386	
6616963	292817	13263	
7566700	268571	17654	
6356010	302077	14762	
7324702	269575	20678	
5907454	247297	15903	
6553337	274256	16169	
6859819	308186	15150	
6525874	302999	17050	
6817716	327416	16423	
7878270	417862	20222	
6004879	339468	15642	
6262463	307769	16938	
7401772	314908	18558	
6504399	348316	17445	
6032749	269171	19971	
5950628	342391	14192	
6273344	273638	14280	
7372540	277291	14893	
6517378	271058	14683	
7986325	284738	13161	
5615917	376125	13709	
6742103	322749	14499	
7065119	275788	12180	
5983418	324679	14939	
5386214	246495	13472	
6200411	281574	13875	
6726868	249176	16994	
6408078	350329	15780	
6130560	262661	16435	
5876138	251059	15282	
5875890	291408	13669	
6931926	342456	16936	
6936461	284941	13151	
7107557	389100	16310	
6367889	343193	12702	
6330290	296900	12582	
6289429	312809	13204	
6140246	290872	13431	
7265737	262321	16264	
6147438	311643	13357	
6693553	279543	16730	
5843091	363125	16460	
5921804	359824	12903	
7106686	261589	14569	
6465206	331945	14176	
6291657	329385	17177	
6298180	413232	18285	
7853480	421773	22974	
8156645	355257	23181	
6122901	349752	16195	
7212155	330036	14966	
6721602	312525	17609	
6324448	309533	14615	
6091284	302436	23498	
7454266	326998	22765	
6180357	297547	19023	
8261188	290228	16265	
6485523	311787	20319	
6865785	302348	16233	
7027185	277066	19158	
6716786	356179	15165	
6315020	411399	15166	
7110969	326458	22777	
6716555	387500	24557	
6860544	330877	24455	
6946983	397130	19590	
7092163	379617	16157	
7090610	358013	17171	
7262555	371526	12731	
6050634	297725	13812	
5232504	342909	13062	
5926163	281466	17071	
6369348	322260	15704	
7825232	325404	16577	
6148771	301979	13632	
6082114	312824	13001	
6233230	287038	16441	
6723951	286784	14871	
5701556	308680	15322	
5454922	262568	16033	
6053180	289852	14271	
5806921	295270	16074	
6219333	297060	14498	
6792693	316407	16356	
6437954	298809	15469	
5480901	260244	14375	
5994433	302870	15300	
5954848	339292	13880	
8073998	316838	14484	
6686945	384213	13172	
5834755	352594	13598	
5358960	321716	12528	
6217988	254775	14094	
5903386	312881	15063	
6048930	294685	13895	
6200351	299376	14556	
5671875	334609	13856	
5779026	321833	12883	
6912585	345540	16913	
6217132	388316	17351	
6665250	350772	16880	
6349626	355285	16424	
8007025	411037	18747	
8352450	317560	21132	
7574188	351983	22945	
5799057	330374	18737	
5606510	305009	16119	
6928217	292669	19266	
9777726	333500	20614	
6803813	344240	21151	
5903303	231940	18521	
6028080	289060	15118	
6387041	252572	32271	
5007104	272756	14873	
5585891	293437	15440	
4940517	307587	15588	
5264772	265261	20216	
5260852	254380	15225	
5739180	337428	12848	
5839635	257635	17912	
5901479	310729	17431	
5937661	326747	18873	
5379063	301072	17380	
5593902	260358	23443	
6200607	354795	24218	
5987718	300932	22444	
6202313	346401	23457	
5431637	312538	23584	
5345771	327414	21087	
5458721	267806	21692	
5392986	293526	22116	
5681318	314659	19153	
5565363	291689	19258	
5024462	313955	19494	
5388501	343735	19228	
5083877	268478	19035	
5713847	352054	21332	
6160651	305046	18464	
8169336	344133	22246	
7500865	328720	24477	
5260038	279427	16927	
6436672	332630	21284	
5772695	252763	27372	
6165554	374253	18165	
5866965	269583	19145	
6005327	384077	28352	
6131960	366487	21593	
5956144	312729	21017	
5474622	337905	18558	
5277945	277254	18805	
6759471	328463	21737	
6263932	297754	21893	
6449793	444825	21003	
6639874	337077	21739	
6697024	333745	21892	
6688936	411327	25414	
6855346	286452	21280	
6174116	338507	19897	
7192380	305285	19565	
6723160	324904	16629	
5541354	297330	16023	
6566995	345709	17883	
6028766	304678	19578	
6344311	302205	18530	
5998231	300904	14166	
6397985	339641	18106	
5579151	300930	17327	
6682809	268411	21396	
6525470	273760	19610	
6081019	299713	17472	
7245737	340815	16681	
6957926	357807	27449	
5378762	323318	23350	
6381177	330258	23086	
6437457	296181	23295	
6493517	321239	28090	
7122594	289884	22259	
6766543	283696	24248	
6710901	293629	27648	
7510690	395739	26403	
6087536	311875	23286	
