Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTemp.txt : len : 60000 loops : 1000
WRITE	FSYNC	READ
3553504	245375	305504	
3385272	258938	8839	
3824015	203962	9086	
3664923	235977	8863	
3097268	195998	8478	
3332085	242833	8674	
3520696	232509	9749	
4158640	257664	8973	
3471365	263620	8328	
3951370	289782	8100	
3795984	233875	8685	
3284360	199891	8478	
3892080	253031	8108	
3886347	258775	8615	
4315640	270311	9948	
3861089	205647	9894	
4122998	227366	10185	
3272873	254661	10326	
4159106	291038	9620	
4992518	251941	9713	
3521183	252194	8718	
3613343	255018	9091	
3278843	254342	8501	
3300298	260679	9011	
2865398	191291	8480	
3345682	361556	9184	
4102499	284189	10303	
4302169	259388	9367	
3706598	219588	9823	
3614911	305345	8868	
3696613	251915	8739	
3593446	383531	9189	
3630630	269454	9376	
3436019	219412	8649	
3184314	269240	7851	
3603405	251864	8383	
3549709	260182	8859	
4233762	276760	9560	
3961858	242430	9052	
3587386	316997	9174	
3503718	259149	9084	
4453444	218713	8840	
3179209	258630	8096	
3287045	217135	8743	
3272133	222974	9142	
4022918	298943	8702	
3839108	279646	9149	
3465725	316503	8343	
3365046	296468	8073	
3633672	278850	10372	
3546234	276996	8568	
3414808	298694	8040	
4074438	271353	8506	
3471165	302325	8375	
4049237	217497	8847	
3606515	205291	8925	
4241946	237277	9445	
3358095	221588	12446	
3867150	211562	9387	
5831586	248697	8887	
3597292	228717	10477	
3371663	296800	8403	
4124193	277727	9275	
3191438	261459	8674	
3990298	299273	7654	
3552103	366706	7749	
3835395	335312	8123	
3946680	286676	7983	
3556200	276987	9210	
3892314	262458	9131	
3860663	281192	15240	
3856335	314623	9518	
4106468	292627	9774	
3347294	256428	9606	
3747349	275383	8273	
3532942	301448	7954	
4330255	270268	9303	
4414793	222444	9068	
3800066	234736	9291	
3435274	216380	8493	
3918446	353865	7874	
3122190	225739	8531	
3605833	255953	9230	
5421429	329215	8575	
3677531	252292	8473	
3577510	264500	9702	
3585410	262042	9940	
4553212	262078	9960	
3592030	319997	8024	
3791374	348337	9145	
3580080	364303	8716	
3978081	252955	8088	
4137639	270232	8722	
3199229	264041	8282	
3245772	291903	7366	
3840063	290495	7546	
3501849	340833	7612	
3663271	266444	8464	
4073672	305270	10423	
3991484	328065	10442	
4034111	290315	11975	
3463371	280028	9068	
3688134	285392	9359	
3556608	271712	9331	
3431638	220740	9095	
3930185	257471	8842	
4381358	310906	10218	
3960390	266606	9846	
3533477	286494	7390	
3245819	237737	9320	
3353069	234812	8389	
3668284	255654	9415	
3616952	233766	8606	
2958973	199672	8854	
3408118	299066	7758	
3391241	232242	9146	
3565391	252878	8963	
3266831	263949	9384	
3387619	199765	17740	
4406442	266816	10655	
3897338	250268	9310	
4155531	278021	9965	
3361682	232892	10994	
3684596	268272	11020	
3932027	292522	10292	
4181976	307597	9840	
4406647	257234	9308	
3404538	262211	8683	
4399098	256081	24071	
3387927	217537	8886	
4124747	318382	9176	
4158907	279597	10127	
3133604	268855	8891	
3632672	272525	10533	
3505038	277306	7837	
3585524	220777	8267	
4221370	250090	8682	
3615681	306483	7226	
3964964	312084	7529	
3391962	303045	7392	
3940461	252237	8045	
3467688	271549	8721	
3161234	210414	8946	
3519686	268768	8794	
3037104	241474	8052	
3491096	305657	7546	
4428290	206769	8934	
3952170	228846	8182	
4734440	276408	8783	
3724549	251460	8984	
4645246	324412	7969	
3523949	269216	8398	
4139433	248380	9003	
3474540	308221	7280	
3660178	332065	7720	
4017421	255756	9042	
3939430	357409	8386	
3628495	346020	8887	
4579713	325722	10326	
3500215	284798	9551	
3824770	277486	12418	
